 Nascidos vivos - Brasil;;;;;
Nascim p/resid.mãe por Município e Anomalia congênita;;;;;
Período:2000-2022;;;;;
Município;Sim;Não;Não ou ignorado;Ignorado;Total
 MUNICIPIO IGNORADO - RO;2;116;17;4;139
110001 ALTA FLORESTA D'OESTE;69;9316;613;85;10083
110002 ARIQUEMES;197;35970;2114;545;38826
110003 CABIXI;10;1739;128;199;2076
110004 CACOAL;214;29790;1667;31;31702
110005 CEREJEIRAS;39;5757;331;37;6164
110006 COLORADO DO OESTE;31;5599;407;84;6121
110007 CORUMBIARA;21;2563;181;25;2790
110008 COSTA MARQUES;37;5534;294;48;5913
110009 ESPIGAO D'OESTE;56;10734;659;24;11473
110010 GUAJARA-MIRIM;100;18713;1163;68;20044
110011 JARU;103;20022;1207;130;21462
110012 JI-PARANA;249;44450;2652;933;48284
110013 MACHADINHO D'OESTE;54;11492;550;250;12346
110014 NOVA BRASILANDIA D'OESTE;49;6626;560;15;7250
110015 OURO PRETO DO OESTE;71;12916;958;168;14113
110018 PIMENTA BUENO;92;13198;621;40;13951
110020 PORTO VELHO;1401;156998;8359;20170;186928
110025 PRESIDENTE MEDICI;39;6303;539;77;6958
110026 RIO CRESPO;6;905;36;15;962
110028 ROLIM DE MOURA;100;19133;1085;90;20408
110029 SANTA LUZIA D'OESTE;16;2617;223;20;2876
110030 VILHENA;152;30028;1190;142;31512
110032 SAO MIGUEL DO GUAPORE;42;7668;223;112;8045
110033 NOVA MAMORE;37;8640;269;94;9040
110034 ALVORADA D'OESTE;31;5428;470;69;5998
110037 ALTO ALEGRE DOS PARECIS;9;3643;231;26;3909
110040 ALTO PARAISO;29;5208;273;111;5621
110045 BURITIS;81;13871;608;145;14705
110050 NOVO HORIZONTE DO OESTE;12;2730;230;17;2989
110060 CACAULANDIA;6;1676;102;25;1809
110070 CAMPO NOVO DE RONDONIA;29;3525;182;43;3779
110080 CANDEIAS DO JAMARI;64;6135;50;416;6665
110090 CASTANHEIRAS;5;1068;81;7;1161
110092 CHUPINGUAIA;16;2872;80;16;2984
110094 CUJUBIM;27;4415;143;75;4660
110100 GOVERNADOR JORGE TEIXEIRA;14;3154;215;18;3401
110110 ITAPUA DO OESTE;21;2269;85;65;2440
110120 MINISTRO ANDREAZZA;12;2598;187;16;2813
110130 MIRANTE DA SERRA;20;4194;350;52;4616
