 Nascidos vivos - Brasil;;;;;;;
Nascim p/resid.mãe por Município e Consult pré-natal;;;;;;;
Período:2000-2022;;;;;;;
Município;Nenhuma;De 1 a 3 consultas;De 4 a 6 consultas;De 1 a 6 consultas, não especificado;7 ou mais consultas;Ignorado;Total
 MUNICIPIO IGNORADO - RO;18;25;54;-;39;3;139
110001 ALTA FLORESTA D'OESTE;135;775;4111;-;4981;81;10083
110002 ARIQUEMES;922;3302;13879;-;20163;560;38826
110003 CABIXI;19;67;930;-;1051;9;2076
110004 CACOAL;253;1946;11783;-;17634;86;31702
110005 CEREJEIRAS;88;356;2387;-;3283;50;6164
110006 COLORADO DO OESTE;62;267;1878;-;3786;128;6121
110007 CORUMBIARA;36;151;1149;-;1427;27;2790
110008 COSTA MARQUES;184;617;1940;-;3145;27;5913
110009 ESPIGAO D'OESTE;108;1039;4597;-;5685;44;11473
110010 GUAJARA-MIRIM;1056;8017;6255;-;4488;228;20044
110011 JARU;326;1213;8958;-;10759;206;21462
110012 JI-PARANA;961;4004;17591;-;25239;489;48284
110013 MACHADINHO D'OESTE;280;1274;4952;-;5633;207;12346
110014 NOVA BRASILANDIA D'OESTE;50;653;3253;-;3242;52;7250
110015 OURO PRETO DO OESTE;241;853;4999;-;7920;100;14113
110018 PIMENTA BUENO;139;729;4260;-;8789;34;13951
110020 PORTO VELHO;17242;21154;62947;-;81143;4442;186928
110025 PRESIDENTE MEDICI;93;530;3030;-;3271;34;6958
110026 RIO CRESPO;11;88;328;-;527;8;962
110028 ROLIM DE MOURA;193;941;9518;-;9677;79;20408
110029 SANTA LUZIA D'OESTE;21;121;1224;-;1481;29;2876
110030 VILHENA;206;1003;7847;-;22312;144;31512
110032 SAO MIGUEL DO GUAPORE;85;504;3107;-;4315;34;8045
110033 NOVA MAMORE;360;1681;3665;-;3235;99;9040
110034 ALVORADA D'OESTE;99;667;3247;-;1944;41;5998
110037 ALTO ALEGRE DOS PARECIS;46;171;1604;-;2062;26;3909
110040 ALTO PARAISO;133;500;1985;-;2925;78;5621
110045 BURITIS;223;1220;4479;-;8700;83;14705
110050 NOVO HORIZONTE DO OESTE;21;136;1512;-;1296;24;2989
110060 CACAULANDIA;30;104;698;-;954;23;1809
110070 CAMPO NOVO DE RONDONIA;64;280;1362;-;2045;28;3779
110080 CANDEIAS DO JAMARI;493;642;2249;-;3176;105;6665
110090 CASTANHEIRAS;6;72;596;-;481;6;1161
110092 CHUPINGUAIA;34;157;1005;-;1769;19;2984
110094 CUJUBIM;138;411;1738;-;2329;44;4660
110100 GOVERNADOR JORGE TEIXEIRA;61;268;1513;-;1488;71;3401
110110 ITAPUA DO OESTE;111;226;789;-;1273;41;2440
110120 MINISTRO ANDREAZZA;17;167;1132;-;1490;7;2813
110130 MIRANTE DA SERRA;65;360;1645;-;2503;43;4616
110140 MONTE NEGRO;115;402;2015;-;2636;44;5212
110143 NOVA UNIAO;58;170;835;-;1252;13;2328
110145 PARECIS;25;90;624;-;687;9;1435
110146 PIMENTEIRAS DO OESTE;36;126;439;-;459;9;1069
110147 PRIMAVERA DE RONDONIA;12;61;408;-;700;5;1186
110148 SAO FELIPE D'OESTE;16;72;616;-;1033;2;1739
110149 SAO FRANCISCO DO GUAPORE;101;310;1752;-;4044;34;6241
110150 SERINGUEIRAS;45;218;1510;-;2479;16;4268
110155 TEIXEIROPOLIS;20;75;500;-;812;5;1412
110160 THEOBROMA;53;188;1490;-;1351;24;3106
110170 URUPA;72;256;1706;-;1693;66;3793
110175 VALE DO ANARI;29;154;1029;-;1087;18;2317
110180 VALE DO PARAISO;49;142;860;-;1143;18;2212
 MUNICIPIO IGNORADO - AC;1;-;3;-;6;3;13
120001 ACRELANDIA;254;558;1965;1;2461;71;5310
120005 ASSIS BRASIL;869;1042;1531;-;1229;446;5117
120010 BRASILEIA;929;1919;4650;2;4013;206;11719
120013 BUJARI;284;516;1628;-;1707;42;4177
120017 CAPIXABA;325;660;1754;-;1337;41;4117
120020 CRUZEIRO DO SUL;5867;8228;11161;-;17424;308;42988
120025 EPITACIOLANDIA;389;1086;2736;-;2093;178;6482
120030 FEIJO;3843;4338;4761;-;3091;1026;17059
120032 JORDAO;594;1831;1291;-;629;105;4450
120033 MANCIO LIMA;875;1770;2979;-;2871;150;8645
120034 MANOEL URBANO;463;1110;1984;-;1237;110;4904
120035 MARECHAL THAUMATURGO;1379;2406;3078;-;2069;24;8956
120038 PLACIDO DE CASTRO;507;939;3122;-;3092;77;7737
120039 PORTO WALTER;1870;1223;1901;-;1521;40;6555
120040 RIO BRANCO;8406;25099;57782;-;64741;1610;157638
120042 RODRIGUES ALVES;1843;1633;2462;-;2646;532;9116
120043 SANTA ROSA DO PURUS;656;1376;965;-;481;49;3527
120045 SENADOR GUIOMARD;567;1302;3497;-;2979;83;8428
120050 SENA MADUREIRA;3297;4225;7318;-;5220;63;20123
120060 TARAUACA;2851;8989;7916;-;3614;1232;24602
120070 XAPURI;531;1197;3114;1;2762;88;7693
120080 PORTO ACRE;421;907;2664;1;2558;114;6665
 MUNICIPIO IGNORADO - AM;84;51;83;-;57;13;288
130002 ALVARAES;496;1975;3174;-;2003;91;7739
130006 AMATURA;161;976;1994;-;1895;12;5038
130008 ANAMA;299;804;1896;-;1494;47;4540
130010 ANORI;156;722;2613;-;2062;439;5992
130014 APUI;113;575;1695;-;3112;33;5528
130020 ATALAIA DO NORTE;351;1476;2665;-;2228;388;7108
130030 AUTAZES;1816;3477;7216;-;5904;257;18670
130040 BARCELOS;1388;2481;3281;-;2024;80;9254
130050 BARREIRINHA;946;3156;6727;-;5071;112;16012
130060 BENJAMIN CONSTANT;812;3218;9895;-;6548;195;20668
130063 BERURI;788;2663;3938;-;2089;258;9736
130068 BOA VISTA DO RAMOS;522;1931;3169;-;2464;41;8127
130070 BOCA DO ACRE;680;2685;5777;-;6152;167;15461
130080 BORBA;1012;2695;6308;-;6066;47;16128
130083 CAAPIRANGA;343;885;1579;-;1177;43;4027
130090 CANUTAMA;335;771;1710;-;1635;39;4490
130100 CARAUARI;1441;1919;4574;-;5515;37;13486
130110 CAREIRO;554;1951;3969;-;2980;249;9703
130115 CAREIRO DA VARZEA;552;918;2116;-;1212;97;4895
130120 COARI;2638;11303;13902;-;11252;448;39543
130130 CODAJAS;957;1999;3848;-;3045;65;9914
130140 EIRUNEPE;1676;3617;7025;-;5708;90;18116
130150 ENVIRA;404;2127;3159;-;2631;29;8350
130160 FONTE BOA;1088;2833;4606;-;4115;233;12875
130165 GUAJARA;959;1516;2828;-;2409;35;7747
130170 HUMAITA;1880;3997;6209;-;9906;489;22481
130180 IPIXUNA;1103;2425;3753;-;2009;41;9331
130185 IRANDUBA;923;2600;8048;1;6335;655;18562
130190 ITACOATIARA;3045;8411;17211;-;17397;332;46396
130195 ITAMARATI;650;919;1031;-;2345;54;4999
130200 ITAPIRANGA;122;622;1550;-;1836;46;4176
130210 JAPURA;377;711;1046;-;815;55;3004
130220 JURUA;511;920;1477;-;1159;44;4111
130230 JUTAI;1241;2180;4424;-;3308;249;11402
130240 LABREA;494;5025;5633;-;5094;197;16443
130250 MANACAPURU;4951;11162;17883;-;14170;406;48572
130255 MANAQUIRI;539;677;1756;2;2156;111;5241
130260 MANAUS;35266;112346;362448;3;359161;24829;894053
130270 MANICORE;1984;4103;7488;-;6002;227;19804
130280 MARAA;1104;1373;2682;-;2268;152;7579
130290 MAUES;3789;6335;10968;-;9171;286;30549
130300 NHAMUNDA;517;1542;3539;-;2078;77;7753
130310 NOVA OLINDA DO NORTE;1806;2448;5731;-;3549;54;13588
130320 NOVO AIRAO;460;1219;2733;-;2013;69;6494
130330 NOVO ARIPUANA;941;1682;2858;-;2809;242;8532
130340 PARINTINS;3233;14908;18078;-;12697;288;49204
130350 PAUINI;563;1474;3040;-;2263;91;7431
130353 PRESIDENTE FIGUEIREDO;296;1431;4540;-;5152;315;11734
130356 RIO PRETO DA EVA;513;963;2774;-;3333;267;7850
130360 SANTA ISABEL DO RIO NEGRO;717;1944;2752;-;1335;30;6778
130370 SANTO ANTONIO DO ICA;819;1977;3463;-;7346;46;13651
130380 SAO GABRIEL DA CACHOEIRA;2910;9370;8480;-;5613;1361;27734
130390 SAO PAULO DE OLIVENCA;1618;5004;6000;-;4662;18;17302
130395 SAO SEBASTIAO DO UATUMA;161;512;1261;-;2166;23;4123
130400 SILVES;125;592;2031;-;1691;19;4458
130406 TABATINGA;1573;6552;13676;-;11696;430;33927
130410 TAPAUA;708;1997;3150;-;3652;74;9581
130420 TEFE;3971;7481;15173;1;10143;2456;39225
130423 TONANTINS;674;1458;3033;-;2856;126;8147
130426 UARINI;988;1346;2577;-;2114;68;7093
130430 URUCARA;139;705;2152;-;3868;63;6927
130440 URUCURITUBA;658;1333;3292;-;2184;21;7488
 MUNICIPIO IGNORADO - RR;1;4;14;-;12;2;33
140002 AMAJARI;1199;2099;2352;-;1018;111;6779
140005 ALTO ALEGRE;2624;3671;3610;-;2250;439;12594
140010 BOA VISTA;6310;20598;52686;1;74117;304;154016
140015 BONFIM;693;1852;2937;-;1565;287;7334
140017 CANTA;700;1871;2727;-;1592;62;6952
140020 CARACARAI;710;2010;3518;-;2562;150;8950
140023 CAROEBE;94;451;1492;-;1741;25;3803
140028 IRACEMA;312;633;1224;-;1152;53;3374
140030 MUCAJAI;411;1141;2637;-;3105;29;7323
140040 NORMANDIA;874;2477;3220;-;1377;423;8371
140045 PACARAIMA;714;1801;3409;1;2049;225;8199
140047 RORAINOPOLIS;255;1392;4039;-;4285;59;10030
140050 SAO JOAO DA BALIZA;77;380;1154;-;1223;9;2843
140060 SAO LUIZ;62;315;861;-;1021;18;2277
140070 UIRAMUTA;1170;3052;3420;-;1285;534;9461
 MUNICIPIO IGNORADO - PA;2;10;17;-;32;-;61
150010 ABAETETUBA;1259;5867;30716;-;22629;1406;61877
150013 ABEL FIGUEIREDO;54;284;1226;-;1063;11;2638
150020 ACARA;1637;4346;9733;-;4831;225;20772
150030 AFUA;3791;5689;6084;-;2940;275;18779
150034 AGUA AZUL DO NORTE;139;770;1808;-;1724;47;4488
150040 ALENQUER;1187;6946;11507;-;8919;156;28715
150050 ALMEIRIM;681;3384;8338;-;5509;79;17991
150060 ALTAMIRA;2775;8802;22843;-;18011;490;52921
150070 ANAJAS;2641;4035;6152;-;2451;55;15334
150080 ANANINDEUA;11459;18347;71976;1;99848;1204;202835
150085 ANAPU;567;2035;4847;-;3523;98;11070
150090 AUGUSTO CORREA;1935;3416;10776;-;5429;74;21630
150095 AURORA DO PARA;567;1364;4239;-;3466;62;9698
150100 AVEIRO;238;1405;2270;-;1201;29;5143
150110 BAGRE;2491;1595;3855;-;3082;39;11062
150120 BAIAO;338;2240;4496;-;4838;61;11973
150125 BANNACH;23;155;484;-;475;9;1146
150130 BARCARENA;1460;4671;15701;1;24077;452;46362
150140 BELEM;18064;36310;161380;2;287109;926;503791
150145 BELTERRA;219;772;2599;-;2397;26;6013
150150 BENEVIDES;770;1827;10571;-;8739;62;21969
150157 BOM JESUS DO TOCANTINS;102;462;3271;1;1839;11;5686
150160 BONITO;321;472;2263;-;1337;20;4413
150170 BRAGANCA;6388;7638;25432;-;11507;218;51183
150172 BRASIL NOVO;175;770;2742;-;3186;28;6901
150175 BREJO GRANDE DO ARAGUAIA;71;374;1226;-;880;5;2556
150178 BREU BRANCO;476;3114;7773;-;6150;58;17571
150180 BREVES;9457;14041;22272;-;8098;323;54191
150190 BUJARU;439;1310;6224;-;2821;398;11192
150195 CACHOEIRA DO PIRIA;908;1241;3111;-;1312;85;6657
