 Nascidos vivos - Brasil;;;;;;;
Nascim p/resid.mãe por Município e Cor/raça;;;;;;;
Período:2000-2022;;;;;;;
Município;Branca;Preta;Amarela;Parda;Indígena;Ignorado;Total
 MUNICIPIO IGNORADO - RO;35;6;2;89;4;3;139
110001 ALTA FLORESTA D'OESTE;5126;229;12;4074;416;226;10083
110002 ARIQUEMES;13380;1062;431;22911;57;985;38826
110003 CABIXI;980;36;14;1005;3;38;2076
110004 CACOAL;11518;1018;112;17920;1067;67;31702
110005 CEREJEIRAS;3333;145;29;2566;7;84;6164
110006 COLORADO DO OESTE;2624;173;42;3180;7;95;6121
110007 CORUMBIARA;1266;86;7;1386;7;38;2790
110008 COSTA MARQUES;1158;217;44;4293;46;155;5913
110009 ESPIGAO D'OESTE;4772;350;17;5521;765;48;11473
110010 GUAJARA-MIRIM;1840;204;24;15154;2731;91;20044
110011 JARU;8930;575;99;11261;50;547;21462
110012 JI-PARANA;16051;1122;168;29277;889;777;48284
110013 MACHADINHO D'OESTE;2448;333;49;9118;30;368;12346
110014 NOVA BRASILANDIA D'OESTE;4194;193;46;2688;10;119;7250
110015 OURO PRETO DO OESTE;5918;376;103;7518;10;188;14113
110018 PIMENTA BUENO;5719;556;106;7305;82;183;13951
110020 PORTO VELHO;35983;3221;480;136721;729;9794;186928
110025 PRESIDENTE MEDICI;2365;199;16;4266;9;103;6958
110026 RIO CRESPO;331;33;9;565;2;22;962
110028 ROLIM DE MOURA;7372;519;43;11792;15;667;20408
110029 SANTA LUZIA D'OESTE;928;70;2;1809;7;60;2876
110030 VILHENA;13311;658;110;16729;406;298;31512
110032 SAO MIGUEL DO GUAPORE;3273;290;35;4342;15;90;8045
110033 NOVA MAMORE;1362;180;17;7087;240;154;9040
110034 ALVORADA D'OESTE;2515;140;23;3201;6;113;5998
110037 ALTO ALEGRE DOS PARECIS;1436;107;15;2245;33;73;3909
110040 ALTO PARAISO;1839;172;44;3359;11;196;5621
110045 BURITIS;6138;429;121;7612;34;371;14705
110050 NOVO HORIZONTE DO OESTE;1113;62;5;1680;4;125;2989
110060 CACAULANDIA;645;64;16;1034;4;46;1809
110070 CAMPO NOVO DE RONDONIA;1157;102;28;2364;12;116;3779
110080 CANDEIAS DO JAMARI;851;159;18;5337;13;287;6665
110090 CASTANHEIRAS;382;33;3;716;-;27;1161
110092 CHUPINGUAIA;994;102;11;1743;107;27;2984
110094 CUJUBIM;1225;204;36;3076;5;114;4660
110100 GOVERNADOR JORGE TEIXEIRA;1544;97;10;1638;24;88;3401
110110 ITAPUA DO OESTE;545;84;38;1698;4;71;2440
110120 MINISTRO ANDREAZZA;1037;68;9;1683;5;11;2813
110130 MIRANTE DA SERRA;1957;126;18;2368;46;101;4616
110140 MONTE NEGRO;1504;110;50;3359;10;179;5212
110143 NOVA UNIAO;923;69;15;1286;1;34;2328
110145 PARECIS;528;64;5;800;15;23;1435
110146 PIMENTEIRAS DO OESTE;402;45;16;575;15;16;1069
110147 PRIMAVERA DE RONDONIA;554;37;8;570;8;9;1186
110148 SAO FELIPE D'OESTE;761;54;11;880;9;24;1739
110149 SAO FRANCISCO DO GUAPORE;2185;265;56;3470;38;227;6241
110150 SERINGUEIRAS;2240;118;48;1757;16;89;4268
110155 TEIXEIROPOLIS;587;40;13;754;-;18;1412
110160 THEOBROMA;1300;85;14;1614;2;91;3106
110170 URUPA;1386;100;28;2211;6;62;3793
110175 VALE DO ANARI;893;84;11;1289;2;38;2317
110180 VALE DO PARAISO;861;61;20;1235;3;32;2212
 MUNICIPIO IGNORADO - AC;4;1;-;4;1;3;13
120001 ACRELANDIA;576;87;21;4285;9;332;5310
120005 ASSIS BRASIL;286;39;26;2998;1488;280;5117
120010 BRASILEIA;654;117;26;10463;125;334;11719
120013 BUJARI;217;54;12;3548;6;340;4177
120017 CAPIXABA;239;52;24;3574;3;225;4117
120020 CRUZEIRO DO SUL;5916;369;50;34417;585;1651;42988
120025 EPITACIOLANDIA;367;45;23;5758;27;262;6482
120030 FEIJO;4613;173;103;9329;2100;741;17059
120032 JORDAO;339;91;37;1646;2213;124;4450
120033 MANCIO LIMA;951;140;18;6876;457;203;8645
120034 MANOEL URBANO;427;116;8;3664;575;114;4904
120035 MARECHAL THAUMATURGO;1015;93;11;6127;1211;499;8956
120038 PLACIDO DE CASTRO;531;89;25;6689;23;380;7737
120039 PORTO WALTER;829;161;3;4025;276;1261;6555
120040 RIO BRANCO;14200;1445;663;130958;393;9979;157638
120042 RODRIGUES ALVES;1225;272;76;6819;73;651;9116
120043 SANTA ROSA DO PURUS;84;3;8;760;2606;66;3527
120045 SENADOR GUIOMARD;551;103;45;7198;21;510;8428
120050 SENA MADUREIRA;1503;84;8;17627;701;200;20123
120060 TARAUACA;1944;260;266;19848;1828;456;24602
120070 XAPURI;664;168;23;6402;3;433;7693
120080 PORTO ACRE;397;106;23;5595;12;532;6665
 MUNICIPIO IGNORADO - AM;20;-;-;157;12;99;288
130002 ALVARAES;270;55;45;6433;861;75;7739
130006 AMATURA;307;15;5;2238;2462;11;5038
130008 ANAMA;533;55;8;3688;226;30;4540
130010 ANORI;467;67;6;5375;26;51;5992
130014 APUI;1861;213;72;3282;71;29;5528
130020 ATALAIA DO NORTE;1283;93;13;2384;3305;30;7108
130030 AUTAZES;1784;342;69;9748;6597;130;18670
130040 BARCELOS;606;45;8;4341;4199;55;9254
130050 BARREIRINHA;410;190;11;11986;3371;44;16012
130060 BENJAMIN CONSTANT;413;58;19;12438;7684;56;20668
130063 BERURI;441;46;7;8631;585;26;9736
130068 BOA VISTA DO RAMOS;329;50;7;7711;20;10;8127
130070 BOCA DO ACRE;1633;223;45;12516;501;543;15461
130080 BORBA;608;263;177;11618;3225;237;16128
130083 CAAPIRANGA;285;52;12;3555;21;102;4027
130090 CANUTAMA;1055;145;8;3120;107;55;4490
130100 CARAUARI;4699;152;6;8325;150;154;13486
130110 CAREIRO;924;178;53;8281;179;88;9703
130115 CAREIRO DA VARZEA;620;58;19;4039;112;47;4895
130120 COARI;2536;292;74;36247;326;68;39543
130130 CODAJAS;1178;169;34;8409;53;71;9914
130140 EIRUNEPE;2546;286;32;13538;1672;42;18116
130150 ENVIRA;2313;101;6;5461;457;12;8350
130160 FONTE BOA;143;76;17;12206;411;22;12875
130165 GUAJARA;769;122;5;6602;36;213;7747
130170 HUMAITA;2585;191;18;18704;898;85;22481
130180 IPIXUNA;1719;181;37;6665;692;37;9331
130185 IRANDUBA;966;163;33;17059;56;285;18562
130190 ITACOATIARA;1585;120;29;44500;86;76;46396
130195 ITAMARATI;136;33;5;4081;723;21;4999
130200 ITAPIRANGA;285;38;3;3738;7;105;4176
130210 JAPURA;294;55;9;2126;505;15;3004
130220 JURUA;578;69;11;3093;329;31;4111
130230 JUTAI;1511;258;9;7348;2204;72;11402
130240 LABREA;665;122;10;13956;1664;26;16443
130250 MANACAPURU;1842;146;41;46044;249;250;48572
130255 MANAQUIRI;363;51;21;4649;101;56;5241
130260 MANAUS;120585;6309;1832;747582;2130;15615;894053
130270 MANICORE;4491;373;18;13155;1418;349;19804
130280 MARAA;268;168;13;6300;755;75;7579
130290 MAUES;309;147;15;26344;3640;94;30549
130300 NHAMUNDA;249;43;11;6845;413;192;7753
130310 NOVA OLINDA DO NORTE;897;69;20;12052;517;33;13588
130320 NOVO AIRAO;329;81;22;5807;216;39;6494
130330 NOVO ARIPUANA;110;64;7;8309;23;19;8532
130340 PARINTINS;1346;317;68;46298;1094;81;49204
130350 PAUINI;987;145;26;4735;1484;54;7431
130353 PRESIDENTE FIGUEIREDO;2059;230;31;9230;36;148;11734
130356 RIO PRETO DA EVA;1071;473;29;6130;55;92;7850
130360 SANTA ISABEL DO RIO NEGRO;142;16;9;1710;4885;16;6778
130370 SANTO ANTONIO DO ICA;210;44;14;8589;4760;34;13651
130380 SAO GABRIEL DA CACHOEIRA;456;34;27;1294;25771;152;27734
130390 SAO PAULO DE OLIVENCA;228;32;10;7343;9610;79;17302
130395 SAO SEBASTIAO DO UATUMA;385;25;5;3663;17;28;4123
130400 SILVES;135;13;2;4277;8;23;4458
130406 TABATINGA;1926;142;32;18271;13062;494;33927
130410 TAPAUA;2549;172;7;5694;1087;72;9581
130420 TEFE;1997;291;66;33737;2115;1019;39225
130423 TONANTINS;260;50;38;5644;2122;33;8147
130426 UARINI;917;142;17;5435;532;50;7093
130430 URUCARA;852;34;4;5934;56;47;6927
130440 URUCURITUBA;373;14;11;7063;12;15;7488
 MUNICIPIO IGNORADO - RR;7;-;1;18;6;1;33
140002 AMAJARI;152;31;5;1598;4977;16;6779
140005 ALTO ALEGRE;412;61;12;3228;8847;34;12594
140010 BOA VISTA;23442;2674;199;120180;7330;191;154016
140015 BONFIM;258;86;5;3022;3941;22;7334
140017 CANTA;440;61;8;4187;2248;8;6952
140020 CARACARAI;870;161;20;6288;1565;46;8950
140023 CAROEBE;640;79;6;2615;427;36;3803
140028 IRACEMA;293;78;4;2207;777;15;3374
140030 MUCAJAI;919;110;10;5510;736;38;7323
140040 NORMANDIA;104;17;3;1388;6817;42;8371
140045 PACARAIMA;408;75;10;2469;5223;14;8199
140047 RORAINOPOLIS;1059;212;15;8401;313;30;10030
140050 SAO JOAO DA BALIZA;466;75;8;2123;152;19;2843
140060 SAO LUIZ;363;57;6;1635;202;14;2277
140070 UIRAMUTA;38;10;4;686;8709;14;9461
 MUNICIPIO IGNORADO - PA;18;1;-;41;-;1;61
150010 ABAETETUBA;7337;737;63;52663;51;1026;61877
150013 ABEL FIGUEIREDO;515;68;2;2017;4;32;2638
150020 ACARA;848;597;135;18591;41;560;20772
150030 AFUA;1091;187;13;17108;10;370;18779
150034 AGUA AZUL DO NORTE;1111;177;38;2998;13;151;4488
150040 ALENQUER;1831;182;30;26620;31;21;28715
150050 ALMEIRIM;737;260;13;16327;493;161;17991
150060 ALTAMIRA;6832;1452;170;41516;2451;500;52921
150070 ANAJAS;1531;152;18;13544;12;77;15334
150080 ANANINDEUA;26554;1865;407;172475;333;1201;202835
150085 ANAPU;1068;394;29;9130;262;187;11070
