 Nascidos vivos - Brasil;;;;;;;;;
Nascim p/resid.mãe por Município e Duração gestação;;;;;;;;;
Período:2000-2022;;;;;;;;;
Município;Menos de 22 semanas;De 22 a 27 semanas;De 28 a 31 semanas;De 32 a 36 semanas;De 28 a 36 semanas, não especificado;De 37 a 41 semanas;42 semanas ou mais;Ignorado;Total
 MUNICIPIO IGNORADO - RO;-;-;1;11;-;119;4;4;139
110001 ALTA FLORESTA D'OESTE;3;15;43;457;-;9331;156;78;10083
110002 ARIQUEMES;13;100;243;2073;1;35062;638;696;38826
110003 CABIXI;2;2;14;85;-;1940;23;10;2076
110004 CACOAL;6;98;223;2242;-;28474;517;142;31702
110005 CEREJEIRAS;9;13;40;266;-;5682;73;81;6164
110006 COLORADO DO OESTE;1;22;26;284;-;5614;111;63;6121
110007 CORUMBIARA;-;10;11;106;-;2595;29;39;2790
110008 COSTA MARQUES;2;27;34;334;-;5286;150;80;5913
110009 ESPIGAO D'OESTE;5;23;64;605;-;10117;260;399;11473
110010 GUAJARA-MIRIM;11;76;161;2029;-;16262;835;670;20044
110011 JARU;-;50;114;1178;-;19476;323;321;21462
110012 JI-PARANA;12;156;340;3132;-;40797;1352;2495;48284
110013 MACHADINHO D'OESTE;2;39;82;827;-;10577;522;297;12346
110014 NOVA BRASILANDIA D'OESTE;2;21;26;333;-;6709;116;43;7250
110015 OURO PRETO DO OESTE;2;35;76;907;-;12129;327;637;14113
110018 PIMENTA BUENO;3;31;88;847;-;12579;312;91;13951
110020 PORTO VELHO;109;662;1515;13113;1;151721;3034;16773;186928
110025 PRESIDENTE MEDICI;2;15;46;422;-;6196;163;114;6958
110026 RIO CRESPO;-;-;4;52;-;869;20;17;962
110028 ROLIM DE MOURA;7;49;103;1186;1;18539;312;211;20408
110029 SANTA LUZIA D'OESTE;-;3;18;130;-;2670;34;21;2876
110030 VILHENA;14;82;206;1603;-;29137;337;133;31512
110032 SAO MIGUEL DO GUAPORE;1;22;21;370;-;7397;166;68;8045
110033 NOVA MAMORE;5;19;57;650;-;7784;253;272;9040
110034 ALVORADA D'OESTE;1;12;18;422;-;5213;210;122;5998
110037 ALTO ALEGRE DOS PARECIS;-;10;22;195;-;3589;64;29;3909
110040 ALTO PARAISO;1;14;32;291;-;5096;116;71;5621
110045 BURITIS;3;36;71;946;-;12664;552;433;14705
110050 NOVO HORIZONTE DO OESTE;-;5;6;132;-;2796;32;18;2989
110060 CACAULANDIA;1;2;11;78;-;1647;44;26;1809
110070 CAMPO NOVO DE RONDONIA;1;5;20;263;-;3289;120;81;3779
110080 CANDEIAS DO JAMARI;2;19;61;526;-;5460;168;429;6665
110090 CASTANHEIRAS;-;8;8;59;-;1064;18;4;1161
110092 CHUPINGUAIA;-;11;14;149;-;2732;46;32;2984
110094 CUJUBIM;1;16;23;320;-;4092;111;97;4660
110100 GOVERNADOR JORGE TEIXEIRA;1;14;22;198;-;2966;154;46;3401
110110 ITAPUA DO OESTE;-;4;10;199;-;2072;73;82;2440
110120 MINISTRO ANDREAZZA;1;7;15;148;-;2602;34;6;2813
110130 MIRANTE DA SERRA;-;8;33;273;-;4106;98;98;4616
110140 MONTE NEGRO;-;13;36;285;-;4630;172;76;5212
110143 NOVA UNIAO;1;4;11;122;-;2087;54;49;2328
110145 PARECIS;-;2;6;74;-;1323;22;8;1435
110146 PIMENTEIRAS DO OESTE;-;6;11;35;-;978;14;25;1069
110147 PRIMAVERA DE RONDONIA;1;3;8;67;-;1084;21;2;1186
110148 SAO FELIPE D'OESTE;1;2;9;71;-;1626;23;7;1739
110149 SAO FRANCISCO DO GUAPORE;-;18;39;474;-;5330;283;97;6241
110150 SERINGUEIRAS;6;10;21;193;-;3851;107;80;4268
110155 TEIXEIROPOLIS;-;2;7;95;-;1215;30;63;1412
110160 THEOBROMA;3;3;11;145;-;2853;53;38;3106
110170 URUPA;1;12;25;256;-;3312;86;101;3793
110175 VALE DO ANARI;-;9;10;155;-;2034;66;43;2317
110180 VALE DO PARAISO;1;9;15;118;-;1952;57;60;2212
 MUNICIPIO IGNORADO - AC;-;-;-;-;-;13;-;-;13
120001 ACRELANDIA;5;11;60;354;-;4521;222;137;5310
120005 ASSIS BRASIL;22;16;41;350;-;4193;207;288;5117
120010 BRASILEIA;5;47;106;794;-;10056;391;320;11719
120013 BUJARI;-;11;43;404;-;3444;150;125;4177
120017 CAPIXABA;-;20;40;396;-;3420;138;103;4117
120020 CRUZEIRO DO SUL;8;146;329;2965;-;36861;1505;1174;42988
120025 EPITACIOLANDIA;6;37;56;419;-;5548;216;200;6482
120030 FEIJO;4;37;120;1662;-;11439;1663;2134;17059
120032 JORDAO;2;15;61;1114;-;2469;317;472;4450
120033 MANCIO LIMA;7;20;68;593;-;7334;361;262;8645
120034 MANOEL URBANO;4;20;63;543;-;3978;198;98;4904
120035 MARECHAL THAUMATURGO;4;19;34;593;-;7207;489;610;8956
120038 PLACIDO DE CASTRO;3;19;79;515;-;6683;213;225;7737
120039 PORTO WALTER;3;15;35;372;-;5490;327;313;6555
120040 RIO BRANCO;67;644;1716;11462;-;135241;3024;5484;157638
120042 RODRIGUES ALVES;6;30;59;538;-;7859;330;294;9116
120043 SANTA ROSA DO PURUS;5;14;38;340;-;2488;165;477;3527
120045 SENADOR GUIOMARD;4;38;91;616;-;7150;274;255;8428
120050 SENA MADUREIRA;5;55;111;1178;-;17804;568;402;20123
120060 TARAUACA;13;77;202;1679;-;18986;1966;1679;24602
120070 XAPURI;2;32;59;617;-;6470;322;191;7693
120080 PORTO ACRE;1;26;72;585;-;5524;217;240;6665
 MUNICIPIO IGNORADO - AM;1;1;4;24;-;217;2;39;288
130002 ALVARAES;2;13;40;659;-;6581;269;175;7739
130006 AMATURA;6;22;49;785;-;3941;201;34;5038
130008 ANAMA;3;13;27;301;-;3780;373;43;4540
130010 ANORI;3;12;54;426;-;5139;213;145;5992
130014 APUI;2;20;42;397;-;4701;331;35;5528
130020 ATALAIA DO NORTE;2;10;64;738;-;5828;261;205;7108
130030 AUTAZES;8;40;108;1368;-;15977;851;318;18670
130040 BARCELOS;3;28;64;1219;-;7496;363;81;9254
130050 BARREIRINHA;2;21;57;705;-;14646;533;48;16012
130060 BENJAMIN CONSTANT;9;42;97;1136;-;18546;433;405;20668
130063 BERURI;1;7;36;494;-;8714;357;127;9736
130068 BOA VISTA DO RAMOS;2;20;51;321;-;7309;252;172;8127
130070 BOCA DO ACRE;4;27;58;1050;-;13705;407;210;15461
130080 BORBA;5;34;95;1461;-;13878;556;99;16128
130083 CAAPIRANGA;1;14;44;292;-;3401;192;83;4027
130090 CANUTAMA;1;14;29;256;-;3954;190;46;4490
130100 CARAUARI;6;34;91;943;-;11628;629;155;13486
130110 CAREIRO;5;26;82;683;-;8335;263;309;9703
130115 CAREIRO DA VARZEA;3;21;44;853;-;3805;59;110;4895
130120 COARI;18;85;191;3123;-;35354;607;165;39543
130130 CODAJAS;9;48;66;754;-;8490;391;156;9914
130140 EIRUNEPE;8;56;134;988;-;16380;510;40;18116
130150 ENVIRA;1;22;66;313;-;7767;163;18;8350
130160 FONTE BOA;10;33;99;1024;-;11195;485;29;12875
130165 GUAJARA;-;20;49;584;-;6553;371;170;7747
130170 HUMAITA;4;43;103;1072;-;20839;341;79;22481
130180 IPIXUNA;5;30;83;641;-;7778;560;234;9331
130185 IRANDUBA;5;68;141;1296;-;15951;388;713;18562
130190 ITACOATIARA;37;190;511;3197;-;39842;1633;986;46396
130195 ITAMARATI;-;5;25;127;-;2469;2327;46;4999
130200 ITAPIRANGA;1;9;29;301;-;3622;166;48;4176
130210 JAPURA;1;7;22;277;-;2511;161;25;3004
130220 JURUA;1;19;42;380;-;3412;211;46;4111
130230 JUTAI;3;11;40;856;-;7872;2565;55;11402
130240 LABREA;4;44;132;1306;-;11450;3303;204;16443
130250 MANACAPURU;26;149;461;3493;-;41554;1711;1178;48572
130255 MANAQUIRI;1;13;39;417;-;4512;153;106;5241
130260 MANAUS;371;4042;8346;66043;3;783190;11291;20767;894053
130270 MANICORE;6;37;88;1201;-;17199;903;370;19804
130280 MARAA;2;20;46;580;-;6559;303;69;7579
130290 MAUES;18;75;206;1870;-;26535;1148;697;30549
130300 NHAMUNDA;4;21;65;789;-;6443;354;77;7753
130310 NOVA OLINDA DO NORTE;6;28;89;1051;-;11537;489;388;13588
130320 NOVO AIRAO;4;22;44;468;-;5605;232;119;6494
130330 NOVO ARIPUANA;9;25;50;624;-;3873;3804;147;8532
130340 PARINTINS;31;137;341;4879;-;41680;2025;111;49204
130350 PAUINI;2;15;57;419;-;6562;312;64;7431
130353 PRESIDENTE FIGUEIREDO;4;31;72;849;-;10106;349;323;11734
130356 RIO PRETO DA EVA;5;28;57;562;-;6635;168;395;7850
130360 SANTA ISABEL DO RIO NEGRO;2;9;32;571;-;5884;221;59;6778
130370 SANTO ANTONIO DO ICA;5;17;33;512;-;12270;649;165;13651
130380 SAO GABRIEL DA CACHOEIRA;14;71;240;2553;-;23281;963;612;27734
130390 SAO PAULO DE OLIVENCA;13;77;249;2532;-;13707;680;44;17302
130395 SAO SEBASTIAO DO UATUMA;1;11;28;377;-;3476;200;30;4123
130400 SILVES;1;11;23;270;-;3908;216;29;4458
130406 TABATINGA;18;122;400;3773;-;27977;1264;373;33927
130410 TAPAUA;2;32;79;662;-;8223;532;51;9581
130420 TEFE;22;121;305;2573;-;34484;908;812;39225
130423 TONANTINS;8;25;52;757;-;6746;384;175;8147
130426 UARINI;5;10;44;1098;-;5518;253;165;7093
130430 URUCARA;1;18;56;461;-;6087;262;42;6927
130440 URUCURITUBA;-;13;30;565;-;6551;250;79;7488
 MUNICIPIO IGNORADO - RR;-;-;1;7;-;20;3;2;33
140002 AMAJARI;6;19;39;1113;-;5271;141;190;6779
140005 ALTO ALEGRE;1;40;76;2261;-;9306;469;441;12594
140010 BOA VISTA;89;795;1326;12948;-;135837;2965;56;154016
140015 BONFIM;1;33;64;766;-;6201;235;34;7334
140017 CANTA;4;26;74;693;-;5909;219;27;6952
140020 CARACARAI;2;33;53;883;-;7564;277;138;8950
140023 CAROEBE;2;15;26;309;-;3309;129;13;3803
140028 IRACEMA;2;13;27;403;-;2775;94;60;3374
140030 MUCAJAI;3;30;59;599;-;6419;170;43;7323
140040 NORMANDIA;5;20;90;887;-;7057;266;46;8371
140045 PACARAIMA;3;28;81;756;-;7098;214;19;8199
140047 RORAINOPOLIS;8;49;115;908;-;8441;378;131;10030
140050 SAO JOAO DA BALIZA;2;14;29;226;-;2476;78;18;2843
140060 SAO LUIZ;1;5;24;131;-;2046;62;8;2277
140070 UIRAMUTA;9;35;81;1110;-;7804;373;49;9461
 MUNICIPIO IGNORADO - PA;1;-;1;5;-;51;3;-;61
150010 ABAETETUBA;33;167;443;4375;-;53693;1738;1428;61877
150013 ABEL FIGUEIREDO;1;9;15;149;-;2303;142;19;2638
150020 ACARA;14;45;172;1713;1;17412;630;785;20772
150030 AFUA;7;55;139;1360;1;15502;631;1084;18779
150034 AGUA AZUL DO NORTE;1;16;35;310;-;3778;124;224;4488
