 Nascidos vivos - Brasil;;;;;;;;;;
Nascim p/resid.mãe por Município e Instrução da mãe;;;;;;;;;;
Período:2000-2022;;;;;;;;;;
Município;Nenhuma;1 a 3 anos;4 a 7 anos;8 a 11 anos;12 anos e mais;9 a 11 anos;1º grau incompleto;1º grau completo;Ignorado;Total
 MUNICIPIO IGNORADO - RO;9;35;55;31;7;-;-;-;2;139
110001 ALTA FLORESTA D'OESTE;170;1470;3598;3353;1154;-;-;-;338;10083
110002 ARIQUEMES;405;3171;12293;16548;5532;-;-;-;877;38826
110003 CABIXI;24;176;628;976;241;-;-;-;31;2076
110004 CACOAL;356;1959;8133;15257;5826;-;-;-;171;31702
110005 CEREJEIRAS;34;374;1944;2637;1082;-;-;-;93;6164
110006 COLORADO DO OESTE;35;314;1730;2690;1193;-;-;-;159;6121
110007 CORUMBIARA;20;232;1059;1132;280;-;-;-;67;2790
110008 COSTA MARQUES;117;621;2313;2344;412;-;-;-;106;5913
110009 ESPIGAO D'OESTE;223;1214;4159;4144;1327;-;-;-;406;11473
110010 GUAJARA-MIRIM;231;1680;7549;8399;1839;-;2;-;344;20044
110011 JARU;230;2132;6655;9303;2748;-;1;1;392;21462
110012 JI-PARANA;556;2915;13616;21634;7448;-;6;-;2109;48284
110013 MACHADINHO D'OESTE;185;1393;4700;4201;1087;-;1;-;779;12346
110014 NOVA BRASILANDIA D'OESTE;88;862;2460;3108;659;-;-;-;73;7250
110015 OURO PRETO DO OESTE;121;945;4519;6226;2049;-;-;-;253;14113
110018 PIMENTA BUENO;98;896;4199;6460;2195;-;2;-;101;13951
110020 PORTO VELHO;1540;9023;54272;82429;27101;-;29;1;12533;186928
110025 PRESIDENTE MEDICI;62;1205;1943;2779;794;-;-;-;175;6958
110026 RIO CRESPO;8;79;367;398;86;-;-;-;24;962
110028 ROLIM DE MOURA;124;1114;5663;9509;3795;-;-;-;203;20408
110029 SANTA LUZIA D'OESTE;33;310;897;1228;364;-;-;-;44;2876
110030 VILHENA;192;852;6924;17156;6056;-;-;-;332;31512
110032 SAO MIGUEL DO GUAPORE;66;1084;2577;3324;898;-;-;-;96;8045
110033 NOVA MAMORE;104;798;3541;3721;671;-;-;-;205;9040
110034 ALVORADA D'OESTE;73;603;2089;2517;600;-;-;-;116;5998
110037 ALTO ALEGRE DOS PARECIS;57;495;1504;1427;368;-;-;-;58;3909
110040 ALTO PARAISO;92;654;2207;2133;413;-;-;-;122;5621
110045 BURITIS;172;1689;5774;5524;1330;-;-;-;216;14705
110050 NOVO HORIZONTE DO OESTE;41;333;1044;1231;313;1;-;-;26;2989
110060 CACAULANDIA;31;195;651;673;194;-;-;-;65;1809
110070 CAMPO NOVO DE RONDONIA;61;525;1451;1399;277;-;-;-;66;3779
110080 CANDEIAS DO JAMARI;65;400;2449;3049;468;-;-;-;234;6665
110090 CASTANHEIRAS;12;140;408;482;109;-;-;-;10;1161
110092 CHUPINGUAIA;33;159;868;1576;312;-;-;-;36;2984
110094 CUJUBIM;98;552;1774;1807;333;-;-;-;96;4660
110100 GOVERNADOR JORGE TEIXEIRA;44;512;1235;1264;259;-;-;-;87;3401
110110 ITAPUA DO OESTE;27;245;942;962;182;-;-;-;82;2440
110120 MINISTRO ANDREAZZA;39;311;1055;1106;285;-;-;-;17;2813
110130 MIRANTE DA SERRA;70;636;1842;1557;318;-;-;-;193;4616
110140 MONTE NEGRO;122;669;2035;1799;426;-;-;-;161;5212
110143 NOVA UNIAO;22;247;924;921;158;-;-;-;56;2328
110145 PARECIS;18;161;557;578;105;-;-;-;16;1435
110146 PIMENTEIRAS DO OESTE;15;86;370;486;97;-;-;-;15;1069
110147 PRIMAVERA DE RONDONIA;6;96;442;457;181;-;-;-;4;1186
110148 SAO FELIPE D'OESTE;15;162;635;679;234;-;-;-;14;1739
110149 SAO FRANCISCO DO GUAPORE;71;595;1976;2783;598;-;-;-;218;6241
110150 SERINGUEIRAS;62;532;1518;1796;314;-;-;-;46;4268
110155 TEIXEIROPOLIS;12;129;505;585;151;-;-;-;30;1412
110160 THEOBROMA;46;475;1114;1149;275;-;-;-;47;3106
110170 URUPA;43;364;1541;1387;341;-;1;-;116;3793
110175 VALE DO ANARI;44;307;901;810;215;-;-;-;40;2317
110180 VALE DO PARAISO;32;217;853;872;193;-;-;-;45;2212
 MUNICIPIO IGNORADO - AC;-;1;5;5;-;-;-;-;2;13
120001 ACRELANDIA;223;792;1905;1893;439;1;-;3;54;5310
120005 ASSIS BRASIL;948;814;1354;1100;249;-;-;-;652;5117
120010 BRASILEIA;741;2106;3547;3662;885;-;-;2;776;11719
120013 BUJARI;136;484;1573;1634;308;-;-;-;42;4177
120017 CAPIXABA;247;638;1478;1438;260;-;-;-;56;4117
120020 CRUZEIRO DO SUL;7860;4292;8001;17012;5090;-;-;-;733;42988
120025 EPITACIOLANDIA;260;1003;1972;2193;570;-;-;-;484;6482
120030 FEIJO;2889;2668;4666;4743;1016;-;-;-;1077;17059
120032 JORDAO;389;1164;1487;1081;103;-;-;-;226;4450
120033 MANCIO LIMA;842;954;2239;3543;736;-;-;-;331;8645
120034 MANOEL URBANO;986;833;1522;1092;135;-;-;-;336;4904
120035 MARECHAL THAUMATURGO;1571;1595;2561;2594;382;-;-;-;253;8956
120038 PLACIDO DE CASTRO;444;1187;2791;2651;559;-;-;-;105;7737
120039 PORTO WALTER;1218;1534;1535;1881;230;-;-;-;157;6555
120040 RIO BRANCO;3816;17385;44648;63831;26371;-;-;-;1587;157638
120042 RODRIGUES ALVES;1574;1651;2269;2795;463;-;-;-;364;9116
120043 SANTA ROSA DO PURUS;1166;613;922;544;73;-;-;-;209;3527
120045 SENADOR GUIOMARD;287;1094;2937;3144;858;-;-;-;108;8428
120050 SENA MADUREIRA;2573;3265;7110;6166;891;-;-;-;118;20123
120060 TARAUACA;3794;4481;7190;7049;1036;-;-;-;1052;24602
120070 XAPURI;861;1474;2477;2090;537;-;-;-;254;7693
120080 PORTO ACRE;275;887;2497;2420;470;-;-;2;114;6665
 MUNICIPIO IGNORADO - AM;10;15;56;62;13;-;-;-;132;288
130002 ALVARAES;248;1294;2918;2853;301;-;-;-;125;7739
130006 AMATURA;356;927;1773;1820;125;-;-;-;37;5038
130008 ANAMA;142;739;1359;2036;179;-;-;-;85;4540
130010 ANORI;55;317;1018;2029;151;-;-;-;2422;5992
130014 APUI;125;508;2318;2210;325;-;-;-;42;5528
130020 ATALAIA DO NORTE;1915;836;2098;1323;213;-;-;-;723;7108
130030 AUTAZES;503;2617;6394;8068;738;-;-;-;350;18670
130040 BARCELOS;2191;648;2295;3258;454;-;-;-;408;9254
130050 BARREIRINHA;440;2032;5878;7077;400;-;-;-;185;16012
130060 BENJAMIN CONSTANT;1038;2609;6715;8238;1485;-;-;-;583;20668
130063 BERURI;737;1810;3376;3511;148;-;-;-;154;9736
130068 BOA VISTA DO RAMOS;119;1108;2937;3645;288;-;-;-;30;8127
130070 BOCA DO ACRE;1886;2118;4597;4988;692;-;-;-;1180;15461
130080 BORBA;798;2728;5466;6556;490;-;-;-;90;16128
130083 CAAPIRANGA;135;529;1409;1721;166;-;-;1;66;4027
130090 CANUTAMA;447;785;1546;1464;195;-;4;-;49;4490
130100 CARAUARI;1149;2146;4215;5424;368;-;-;-;184;13486
