 Nascidos vivos - Brasil
Nascim p/resid.mãe por Município e Adeq quant pré-natal*
Período:2000-2022
"Município";"Não fez pré-natal";"Inadequado";"Intermediário";"Adequado";"Mais que adequado";"Não Classificados";"Não informado";"Total"
" MUNICIPIO IGNORADO - RO";1;5;3;2;7;1;120;139
"110001 ALTA FLORESTA D'OESTE";3;452;212;339;2023;198;6856;10083
"110002 ARIQUEMES";18;1496;1029;1007;6856;4378;24042;38826
"110003 CABIXI";1;95;32;49;451;36;1412;2076
"110004 CACOAL";30;1493;888;896;8710;304;19381;31702
"110005 CEREJEIRAS";3;378;127;168;1617;67;3804;6164
"110006 COLORADO DO OESTE";3;311;80;118;1508;58;4043;6121
"110007 CORUMBIARA";-;188;54;84;690;30;1744;2790
"110008 COSTA MARQUES";6;482;96;120;1168;151;3890;5913
"110009 ESPIGAO D'OESTE";4;852;410;521;2533;87;7066;11473
"110010 GUAJARA-MIRIM";132;1262;1320;690;1983;2240;12417;20044
"110011 JARU";11;899;314;532;5475;571;13660;21462
"110012 JI-PARANA";22;2935;1287;1284;11732;1391;29633;48284
"110013 MACHADINHO D'OESTE";15;684;248;277;2501;653;7968;12346
"110014 NOVA BRASILANDIA D'OESTE";1;287;163;263;1471;75;4990;7250
"110015 OURO PRETO DO OESTE";2;805;321;438;3503;447;8597;14113
"110018 PIMENTA BUENO";8;854;393;422;3595;141;8538;13951
"110020 PORTO VELHO";114;14782;4797;4399;24428;27253;111155;186928
"110025 PRESIDENTE MEDICI";3;386;143;219;1658;112;4437;6958
"110026 RIO CRESPO";-;28;30;28;186;111;579;962
"110028 ROLIM DE MOURA";9;918;700;807;5210;412;12352;20408
"110029 SANTA LUZIA D'OESTE";-;99;40;81;638;32;1986;2876
"110030 VILHENA";18;2663;814;865;9023;312;17817;31512
"110032 SAO MIGUEL DO GUAPORE";3;418;244;295;2138;125;4822;8045
"110033 NOVA MAMORE";42;510;422;436;1630;957;5043;9040
"110034 ALVORADA D'OESTE";3;262;123;176;1015;109;4310;5998
"110037 ALTO ALEGRE DOS PARECIS";1;166;79;117;986;65;2495;3909
"110040 ALTO PARAISO";1;185;117;136;1031;584;3567;5621
"110045 BURITIS";4;755;351;530;3364;247;9454;14705
"110050 NOVO HORIZONTE DO OESTE";1;70;63;74;607;46;2128;2989
"110060 CACAULANDIA";-;60;36;36;314;171;1192;1809
"110070 CAMPO NOVO DE RONDONIA";2;173;82;162;917;141;2302;3779
"110080 CANDEIAS DO JAMARI";3;620;164;186;1121;1083;3488;6665
"110090 CASTANHEIRAS";-;50;23;34;255;21;778;1161
"110092 CHUPINGUAIA";1;294;102;129;850;77;1531;2984
"110094 CUJUBIM";4;243;148;157;989;554;2565;4660
"110100 GOVERNADOR JORGE TEIXEIRA";3;100;29;68;734;65;2402;3401
"110110 ITAPUA DO OESTE";1;144;42;50;444;299;1460;2440
"110120 MINISTRO ANDREAZZA";1;86;45;47;586;16;2032;2813
"110130 MIRANTE DA SERRA";-;194;53;110;945;93;3221;4616
"110140 MONTE NEGRO";1;228;92;158;934;331;3468;5212
"110143 NOVA UNIAO";-;93;31;71;552;86;1495;2328
"110145 PARECIS";-;45;35;44;305;16;990;1435
"110146 PIMENTEIRAS DO OESTE";4;96;38;28;201;16;686;1069
"110147 PRIMAVERA DE RONDONIA";3;51;28;37;277;9;781;1186
"110148 SAO FELIPE D'OESTE";3;56;37;52;378;13;1200;1739
"110149 SAO FRANCISCO DO GUAPORE";8;466;113;194;1840;110;3510;6241
"110150 SERINGUEIRAS";2;200;48;90;1160;68;2700;4268
"110155 TEIXEIROPOLIS";-;68;21;37;357;43;886;1412
"110160 THEOBROMA";-;118;26;99;706;77;2080;3106
"110170 URUPA";1;183;92;120;806;133;2458;3793
"110175 VALE DO ANARI";2;105;35;63;558;79;1475;2317
"110180 VALE DO PARAISO";-;118;40;44;455;67;1488;2212
" MUNICIPIO IGNORADO - AC";-;-;-;1;-;-;12;13
"120001 ACRELANDIA";8;376;150;188;807;601;3180;5310
"120005 ASSIS BRASIL";8;607;224;130;546;608;2994;5117
"120010 BRASILEIA";12;1318;526;569;1987;400;6907;11719
"120013 BUJARI";13;584;159;189;765;692;1775;4177
"120017 CAPIXABA";10;479;174;142;499;612;2201;4117
"120020 CRUZEIRO DO SUL";46;5028;1194;1297;7438;595;27390;42988
"120025 EPITACIOLANDIA";7;681;361;310;974;231;3918;6482
"120030 FEIJO";237;3948;814;400;1203;857;9600;17059
"120032 JORDAO";25;991;371;130;381;409;2143;4450
"120033 MANCIO LIMA";9;1188;265;357;1340;173;5313;8645
"120034 MANOEL URBANO";38;671;352;241;654;330;2618;4904
"120035 MARECHAL THAUMATURGO";80;1144;619;370;1083;347;5313;8956
"120038 PLACIDO DE CASTRO";8;610;215;227;931;775;4971;7737
"120039 PORTO WALTER";19;1000;308;248;760;104;4116;6555
"120040 RIO BRANCO";356;12326;4671;4024;20453;14803;101005;157638
"120042 RODRIGUES ALVES";18;1123;266;233;1244;307;5925;9116
"120043 SANTA ROSA DO PURUS";13;645;269;90;235;312;1963;3527
"120045 SENADOR GUIOMARD";22;891;325;326;1033;1134;4697;8428
"120050 SENA MADUREIRA";48;1888;874;779;2528;845;13161;20123
"120060 TARAUACA";240;5640;1420;645;1714;705;14238;24602
"120070 XAPURI";13;609;192;166;1299;561;4853;7693
"120080 PORTO ACRE";14;815;327;262;959;957;3331;6665
" MUNICIPIO IGNORADO - AM";30;29;9;9;25;89;97;288
"130002 ALVARAES";62;1326;497;311;962;154;4427;7739
"130006 AMATURA";2;585;189;267;1271;32;2692;5038
"130008 ANAMA";3;601;150;168;769;54;2795;4540
"130010 ANORI";12;761;174;291;983;62;3709;5992
"130014 APUI";10;470;111;110;1407;70;3350;5528
"130020 ATALAIA DO NORTE";25;1354;368;298;1088;98;3877;7108
"130030 AUTAZES";47;3457;889;692;2595;423;10567;18670
"130040 BARCELOS";49;1997;548;250;916;704;4790;9254
"130050 BARREIRINHA";97;3066;935;722;2579;160;8453;16012
"130060 BENJAMIN CONSTANT";13;3270;1063;915;3690;167;11550;20668
"130063 BERURI";201;2325;448;379;1092;271;5020;9736
"130068 BOA VISTA DO RAMOS";48;974;161;282;1365;17;5280;8127
"130070 BOCA DO ACRE";19;2815;455;422;2231;542;8977;15461
"130080 BORBA";58;2612;549;576;3004;62;9267;16128
"130083 CAAPIRANGA";14;701;215;165;586;78;2268;4027
"130090 CANUTAMA";6;461;161;237;787;190;2648;4490
"130100 CARAUARI";147;2004;358;352;2376;415;7834;13486
"130110 CAREIRO";108;1589;654;516;1739;126;4971;9703
"130115 CAREIRO DA VARZEA";7;596;285;264;606;201;2936;4895
"130120 COARI";321;5316;2093;1197;5972;55;24589;39543
"130130 CODAJAS";25;1536;377;262;1722;105;5887;9914
"130140 EIRUNEPE";251;2453;756;544;2960;171;10981;18116
"130150 ENVIRA";51;1181;328;303;1538;25;4924;8350
"130160 FONTE BOA";240;2133;590;374;1841;360;7337;12875
"130165 GUAJARA";18;1158;198;217;1010;194;4952;7747
"130170 HUMAITA";90;2570;566;491;4929;337;13498;22481
"130180 IPIXUNA";17;1637;396;286;795;446;5754;9331
"130185 IRANDUBA";122;2746;974;761;3136;606;10217;18562
"130190 ITACOATIARA";243;7007;1556;1297;7626;381;28286;46396
"130195 ITAMARATI";144;274;151;147;1618;75;2590;4999
"130200 ITAPIRANGA";19;542;119;127;759;5;2605;4176
"130210 JAPURA";29;549;159;175;482;43;1567;3004
"130220 JURUA";25;657;227;168;803;87;2144;4111
"130230 JUTAI";263;1933;570;384;1159;1546;5547;11402
"130240 LABREA";22;3123;375;347;2803;267;9506;16443
"130250 MANACAPURU";448;8300;1882;1325;5804;731;30082;48572
"130255 MANAQUIRI";25;713;226;242;1149;54;2832;5241
"130260 MANAUS";4341;107959;41297;33652;143715;17837;545252;894053
"130270 MANICORE";242;3630;805;656;3251;134;11086;19804
"130280 MARAA";76;1347;361;286;1272;149;4088;7579
"130290 MAUES";286;6412;1068;845;3726;510;17702;30549
"130300 NHAMUNDA";42;1245;334;229;1133;100;4670;7753
"130310 NOVA OLINDA DO NORTE";231;2383;757;455;1480;70;8212;13588
"130320 NOVO AIRAO";44;1084;292;248;779;298;3749;6494
"130330 NOVO ARIPUANA";20;828;255;288;2034;89;5018;8532
"130340 PARINTINS";340;4861;3901;1916;6519;366;31301;49204
"130350 PAUINI";64;1066;391;307;1378;96;4129;7431
"130353 PRESIDENTE FIGUEIREDO";19;1182;477;455;1880;990;6731;11734
"130356 RIO PRETO DA EVA";46;1016;414;334;1774;132;4134;7850
"130360 SANTA ISABEL DO RIO NEGRO";42;1513;372;195;584;205;3867;6778
"130370 SANTO ANTONIO DO ICA";16;1647;610;442;3800;95;7041;13651
"130380 SAO GABRIEL DA CACHOEIRA";127;6133;1700;898;2357;711;15808;27734
"130390 SAO PAULO DE OLIVENCA";51;3212;914;904;3129;126;8966;17302
"130395 SAO SEBASTIAO DO UATUMA";5;789;102;107;650;49;2421;4123
"130400 SILVES";18;698;174;146;783;25;2614;4458
"130406 TABATINGA";89;6597;1466;1393;4922;858;18602;33927
"130410 TAPAUA";44;1185;440;333;1688;124;5767;9581
"130420 TEFE";129;6279;1960;1407;5385;895;23170;39225
"130423 TONANTINS";13;1137;510;454;1538;91;4404;8147
"130426 UARINI";21;1179;279;233;1084;96;4201;7093
"130430 URUCARA";19;1024;144;116;1157;30;4437;6927
"130440 URUCURITUBA";45;1010;353;275;1132;19;4654;7488
" MUNICIPIO IGNORADO - RR";-;1;5;3;4;1;19;33
"140002 AMAJARI";55;1456;501;231;547;673;3316;6779
"140005 ALTO ALEGRE";171;2194;477;261;776;2036;6679;12594
"140010 BOA VISTA";53;21104;7213;5757;30435;3945;85509;154016
"140015 BONFIM";27;1745;518;341;723;256;3724;7334
"140017 CANTA";8;1484;482;296;750;242;3690;6952
"140020 CARACARAI";18;1386;416;293;1201;319;5317;8950
"140023 CAROEBE";3;355;166;189;807;60;2223;3803
"140028 IRACEMA";16;439;104;103;484;229;1999;3374
"140030 MUCAJAI";6;1024;272;233;1208;240;4340;7323
"140040 NORMANDIA";32;2041;744;361;699;212;4282;8371
"140045 PACARAIMA";121;1866;589;363;849;290;4121;8199
