 Nascidos vivos - Brasil;;;;;;;
Nascim p/resid.mãe por Município e Estado civil mãe;;;;;;;
Período:2000-2022;;;;;;;
Município;Solteira;Casada;Viúva;Separada judicialmente;União consensual;Ignorado;Total
 MUNICIPIO IGNORADO - RO;55;46;-;-;36;2;139
110001 ALTA FLORESTA D'OESTE;3525;4019;23;88;2212;216;10083
110002 ARIQUEMES;13828;11826;94;285;11093;1700;38826
110003 CABIXI;872;926;6;44;206;22;2076
110004 CACOAL;7580;14378;77;392;9170;105;31702
110005 CEREJEIRAS;2485;2552;16;117;890;104;6164
110006 COLORADO DO OESTE;2738;2627;28;134;517;77;6121
110007 CORUMBIARA;1120;1172;7;55;386;50;2790
110008 COSTA MARQUES;3074;1124;9;23;1567;116;5913
110009 ESPIGAO D'OESTE;3124;4754;29;119;3289;158;11473
110010 GUAJARA-MIRIM;15642;3059;30;68;1089;156;20044
110011 JARU;7668;9253;51;260;3853;377;21462
110012 JI-PARANA;17228;20036;119;439;9576;886;48284
110013 MACHADINHO D'OESTE;4593;4503;28;84;2640;498;12346
110014 NOVA BRASILANDIA D'OESTE;2445;3407;29;116;1182;71;7250
110015 OURO PRETO DO OESTE;5324;5848;37;176;2539;189;14113
110018 PIMENTA BUENO;5253;5073;29;160;3266;170;13951
110020 PORTO VELHO;81160;48371;266;1106;46821;9204;186928
110025 PRESIDENTE MEDICI;2044;3191;24;98;1502;99;6958
110026 RIO CRESPO;326;317;6;5;243;65;962
110028 ROLIM DE MOURA;6773;8294;54;272;4827;188;20408
110029 SANTA LUZIA D'OESTE;949;1222;14;30;626;35;2876
110030 VILHENA;17090;10447;78;745;2829;323;31512
110032 SAO MIGUEL DO GUAPORE;2998;3159;40;121;1630;97;8045
110033 NOVA MAMORE;5021;2637;24;66;1175;117;9040
110034 ALVORADA D'OESTE;2166;2774;16;62;900;80;5998
110037 ALTO ALEGRE DOS PARECIS;1278;1586;13;41;924;67;3909
110040 ALTO PARAISO;1918;1921;13;41;1485;243;5621
110045 BURITIS;5158;6475;40;169;2608;255;14705
110050 NOVO HORIZONTE DO OESTE;810;1483;11;29;619;37;2989
110060 CACAULANDIA;526;818;10;12;374;69;1809
110070 CAMPO NOVO DE RONDONIA;1286;1643;10;33;723;84;3779
110080 CANDEIAS DO JAMARI;3296;1406;5;32;1695;231;6665
110090 CASTANHEIRAS;376;463;1;14;300;7;1161
110092 CHUPINGUAIA;1746;851;6;48;297;36;2984
110094 CUJUBIM;1855;1236;13;25;1333;198;4660
110100 GOVERNADOR JORGE TEIXEIRA;1096;1735;13;39;451;67;3401
110110 ITAPUA DO OESTE;1195;640;6;14;499;86;2440
110120 MINISTRO ANDREAZZA;549;1535;10;25;669;25;2813
110130 MIRANTE DA SERRA;1384;2067;14;42;1031;78;4616
110140 MONTE NEGRO;1914;2022;15;34;1075;152;5212
110143 NOVA UNIAO;781;1077;3;26;403;38;2328
110145 PARECIS;529;553;-;12;328;13;1435
110146 PIMENTEIRAS DO OESTE;624;240;2;13;152;38;1069
110147 PRIMAVERA DE RONDONIA;364;545;7;9;253;8;1186
110148 SAO FELIPE D'OESTE;486;856;3;14;364;16;1739
110149 SAO FRANCISCO DO GUAPORE;2580;2003;19;72;1399;168;6241
110150 SERINGUEIRAS;1393;1861;10;45;895;64;4268
110155 TEIXEIROPOLIS;402;781;4;26;181;18;1412
110160 THEOBROMA;1062;1399;3;30;547;65;3106
110170 URUPA;1162;1919;14;45;548;105;3793
110175 VALE DO ANARI;772;1014;6;20;465;40;2317
110180 VALE DO PARAISO;781;1030;5;20;357;19;2212
 MUNICIPIO IGNORADO - AC;4;9;-;-;-;-;13
120001 ACRELANDIA;1395;1409;9;29;2296;172;5310
120005 ASSIS BRASIL;2052;728;9;4;2094;230;5117
120010 BRASILEIA;4884;2281;32;40;4202;280;11719
120013 BUJARI;1015;696;8;17;2352;89;4177
120017 CAPIXABA;1157;835;9;19;1999;98;4117
120020 CRUZEIRO DO SUL;22969;6804;48;106;12305;756;42988
120025 EPITACIOLANDIA;2741;1224;15;21;2285;196;6482
120030 FEIJO;8076;2887;30;45;5767;254;17059
120032 JORDAO;1793;591;4;6;1941;115;4450
120033 MANCIO LIMA;3868;1100;11;12;3353;301;8645
120034 MANOEL URBANO;2100;668;6;9;1963;158;4904
120035 MARECHAL THAUMATURGO;3947;1315;5;17;3542;130;8956
120038 PLACIDO DE CASTRO;2494;1670;16;17;3413;127;7737
120039 PORTO WALTER;3197;671;12;14;2536;125;6555
120040 RIO BRANCO;43250;38914;247;839;70686;3702;157638
120042 RODRIGUES ALVES;4688;1673;24;13;2546;172;9116
120043 SANTA ROSA DO PURUS;1756;377;5;4;1312;73;3527
120045 SENADOR GUIOMARD;2614;1728;18;48;3832;188;8428
120050 SENA MADUREIRA;8826;2840;18;29;8288;122;20123
