 Nascidos vivos - Brasil;;;;;;;
Nascim p/resid.mãe por Município e Local ocorrência;;;;;;;
Período:2000-2022;;;;;;;
Município;Hospital;Outro Estabelecimento de Saúde;Domicílio;Aldeia indígena;Outro;Ignorado;Total
 MUNICIPIO IGNORADO - RO;136;2;-;-;1;-;139
110001 ALTA FLORESTA D'OESTE;10050;8;9;-;14;2;10083
110002 ARIQUEMES;38445;341;14;-;26;-;38826
110003 CABIXI;2067;3;1;-;5;-;2076
110004 CACOAL;31549;24;111;-;18;-;31702
110005 CEREJEIRAS;6142;8;4;-;10;-;6164
110006 COLORADO DO OESTE;6098;8;6;-;9;-;6121
110007 CORUMBIARA;2775;5;6;-;4;-;2790
110008 COSTA MARQUES;5888;12;5;-;8;-;5913
110009 ESPIGAO D'OESTE;11392;13;39;-;28;1;11473
110010 GUAJARA-MIRIM;19614;53;303;-;74;-;20044
110011 JARU;21366;69;15;-;12;-;21462
110012 JI-PARANA;48164;46;54;-;20;-;48284
110013 MACHADINHO D'OESTE;12223;79;25;-;17;2;12346
110014 NOVA BRASILANDIA D'OESTE;7235;4;11;-;-;-;7250
110015 OURO PRETO DO OESTE;14063;43;4;-;3;-;14113
110018 PIMENTA BUENO;13914;28;5;-;3;1;13951
110020 PORTO VELHO;185497;560;603;-;260;8;186928
110025 PRESIDENTE MEDICI;6930;14;9;-;5;-;6958
110026 RIO CRESPO;956;1;1;-;4;-;962
110028 ROLIM DE MOURA;20373;8;17;-;10;-;20408
110029 SANTA LUZIA D'OESTE;2870;3;1;-;2;-;2876
110030 VILHENA;31417;67;22;-;4;2;31512
110032 SAO MIGUEL DO GUAPORE;8032;5;5;-;3;-;8045
110033 NOVA MAMORE;7051;1889;57;-;43;-;9040
110034 ALVORADA D'OESTE;5969;9;11;-;9;-;5998
110037 ALTO ALEGRE DOS PARECIS;3827;65;7;-;10;-;3909
110040 ALTO PARAISO;5502;95;16;-;8;-;5621
110045 BURITIS;12751;1930;17;-;7;-;14705
110050 NOVO HORIZONTE DO OESTE;2979;2;4;-;4;-;2989
110060 CACAULANDIA;1798;6;4;-;1;-;1809
110070 CAMPO NOVO DE RONDONIA;3226;539;7;-;7;-;3779
110080 CANDEIAS DO JAMARI;6539;34;37;-;55;-;6665
110090 CASTANHEIRAS;1157;-;-;-;3;1;1161
110092 CHUPINGUAIA;2877;81;7;-;18;1;2984
110094 CUJUBIM;4546;58;23;-;33;-;4660
110100 GOVERNADOR JORGE TEIXEIRA;3343;33;11;-;14;-;3401
110110 ITAPUA DO OESTE;2410;2;6;-;21;1;2440
110120 MINISTRO ANDREAZZA;2805;1;4;-;3;-;2813
110130 MIRANTE DA SERRA;4604;3;-;-;9;-;4616
110140 MONTE NEGRO;5045;154;8;-;5;-;5212
110143 NOVA UNIAO;2322;3;2;-;1;-;2328
110145 PARECIS;1423;4;4;-;4;-;1435
110146 PIMENTEIRAS DO OESTE;1047;19;1;-;2;-;1069
110147 PRIMAVERA DE RONDONIA;1180;5;1;-;-;-;1186
110148 SAO FELIPE D'OESTE;1725;4;2;-;8;-;1739
110149 SAO FRANCISCO DO GUAPORE;6224;7;5;-;5;-;6241
110150 SERINGUEIRAS;4261;3;1;-;2;1;4268
110155 TEIXEIROPOLIS;1403;7;1;-;1;-;1412
110160 THEOBROMA;2998;86;14;-;8;-;3106
110170 URUPA;3765;8;2;-;17;1;3793
110175 VALE DO ANARI;2168;126;15;-;8;-;2317
110180 VALE DO PARAISO;2166;41;3;-;2;-;2212
 MUNICIPIO IGNORADO - AC;12;-;1;-;-;-;13
120001 ACRELANDIA;4646;583;72;-;8;1;5310
120005 ASSIS BRASIL;2299;1556;1072;139;16;35;5117
120010 BRASILEIA;11300;17;388;-;12;2;11719
120013 BUJARI;4118;6;52;-;-;1;4177
120017 CAPIXABA;4022;5;86;-;4;-;4117
120020 CRUZEIRO DO SUL;38098;273;4273;114;228;2;42988
120025 EPITACIOLANDIA;6326;6;148;-;2;-;6482
120030 FEIJO;13808;18;2376;602;238;17;17059
120032 JORDAO;2107;18;1545;636;110;34;4450
120033 MANCIO LIMA;7772;8;848;6;9;2;8645
120034 MANOEL URBANO;3967;61;614;171;61;30;4904
120035 MARECHAL THAUMATURGO;3997;1069;3376;417;95;2;8956
120038 PLACIDO DE CASTRO;7290;378;62;-;7;-;7737
120039 PORTO WALTER;2740;1711;2035;38;30;1;6555
120040 RIO BRANCO;157161;41;406;-;30;-;157638
120042 RODRIGUES ALVES;7146;39;1908;13;10;-;9116
120043 SANTA ROSA DO PURUS;1281;174;1499;422;42;109;3527
120045 SENADOR GUIOMARD;8342;42;42;-;2;-;8428
120050 SENA MADUREIRA;18640;10;1431;24;14;4;20123
120060 TARAUACA;22044;3;2207;214;133;1;24602
120070 XAPURI;7455;7;229;-;2;-;7693
120080 PORTO ACRE;6573;-;86;1;4;1;6665
 MUNICIPIO IGNORADO - AM;279;1;5;-;3;-;288
130002 ALVARAES;7045;25;652;-;17;-;7739
130006 AMATURA;3269;49;1604;11;105;-;5038
130008 ANAMA;3563;4;949;13;10;1;4540
130010 ANORI;5757;20;212;-;3;-;5992
130014 APUI;5463;9;49;-;7;-;5528
130020 ATALAIA DO NORTE;4635;15;1906;476;75;1;7108
130030 AUTAZES;15580;15;2885;69;118;3;18670
130040 BARCELOS;6389;18;994;1427;407;19;9254
130050 BARREIRINHA;12074;36;3752;-;149;1;16012
130060 BENJAMIN CONSTANT;16095;33;4301;175;63;1;20668
130063 BERURI;8443;16;1175;54;48;-;9736
130068 BOA VISTA DO RAMOS;6261;13;1849;-;4;-;8127
130070 BOCA DO ACRE;15402;8;39;4;8;-;15461
130080 BORBA;13348;79;2453;137;109;2;16128
130083 CAAPIRANGA;3129;3;882;-;11;2;4027
130090 CANUTAMA;4215;8;255;1;10;1;4490
130100 CARAUARI;12172;3;1301;1;9;-;13486
130110 CAREIRO;9102;8;525;5;62;1;9703
130115 CAREIRO DA VARZEA;3657;-;1204;9;24;1;4895
130120 COARI;37688;28;1773;-;54;-;39543
130130 CODAJAS;9658;9;236;-;11;-;9914
130140 EIRUNEPE;15631;9;1885;521;70;-;18116
130150 ENVIRA;7826;19;383;2;120;-;8350
130160 FONTE BOA;11805;12;1046;-;12;-;12875
130165 GUAJARA;6669;10;1029;-;39;-;7747
130170 HUMAITA;21226;1;1177;24;52;1;22481
130180 IPIXUNA;6747;10;2449;70;55;-;9331
130185 IRANDUBA;17964;37;531;-;30;-;18562
130190 ITACOATIARA;42034;787;3493;9;72;1;46396
130195 ITAMARATI;3942;4;710;19;319;5;4999
130200 ITAPIRANGA;3995;-;179;-;2;-;4176
130210 JAPURA;2026;14;849;29;84;2;3004
130220 JURUA;3357;11;589;8;146;-;4111
130230 JUTAI;9180;35;1737;400;46;4;11402
130240 LABREA;16069;22;273;67;11;1;16443
130250 MANACAPURU;44738;25;3760;-;47;2;48572
130255 MANAQUIRI;4867;4;344;-;25;1;5241
130260 MANAUS;889414;257;3679;3;400;300;894053
130270 MANICORE;16426;198;3014;57;103;6;19804
130280 MARAA;6319;66;1170;-;24;-;7579
130290 MAUES;23794;27;6596;-;132;-;30549
130300 NHAMUNDA;6067;7;1647;-;29;3;7753
130310 NOVA OLINDA DO NORTE;10960;11;2604;1;7;5;13588
130320 NOVO AIRAO;6292;6;164;-;31;1;6494
130330 NOVO ARIPUANA;8013;4;499;1;14;1;8532
130340 PARINTINS;44986;106;4048;-;64;-;49204
130350 PAUINI;6519;9;883;-;19;1;7431
130353 PRESIDENTE FIGUEIREDO;11623;14;71;-;26;-;11734
130356 RIO PRETO DA EVA;7722;4;101;-;22;1;7850
130360 SANTA ISABEL DO RIO NEGRO;3565;7;2621;457;128;-;6778
130370 SANTO ANTONIO DO ICA;10049;206;3330;43;23;-;13651
130380 SAO GABRIEL DA CACHOEIRA;13575;317;11371;191;2275;5;27734
130390 SAO PAULO DE OLIVENCA;8902;92;7570;510;226;2;17302
130395 SAO SEBASTIAO DO UATUMA;3984;13;117;1;8;-;4123
130400 SILVES;4051;1;397;-;9;-;4458
130406 TABATINGA;24310;54;7682;654;1225;2;33927
130410 TAPAUA;8276;38;996;177;92;2;9581
130420 TEFE;36978;774;1429;4;40;-;39225
130423 TONANTINS;6082;16;1907;25;115;2;8147
130426 UARINI;5552;162;1362;-;16;1;7093
130430 URUCARA;6544;1;366;-;16;-;6927
130440 URUCURITUBA;5801;21;1658;-;8;-;7488
 MUNICIPIO IGNORADO - RR;29;-;4;-;-;-;33
140002 AMAJARI;3195;115;1824;1457;176;12;6779
140005 ALTO ALEGRE;4959;101;3795;3464;264;11;12594
140010 BOA VISTA;152033;80;1458;1;442;2;154016
140015 BONFIM;5698;10;1516;2;105;3;7334
140017 CANTA;6087;47;701;-;113;4;6952
140020 CARACARAI;7415;15;875;470;169;6;8950
140023 CAROEBE;3437;211;124;-;31;-;3803
140028 IRACEMA;2629;16;373;285;67;4;3374
140030 MUCAJAI;6822;17;202;196;83;3;7323
140040 NORMANDIA;5823;21;2395;4;126;2;8371
140045 PACARAIMA;6676;25;1398;2;97;1;8199
140047 RORAINOPOLIS;9835;59;99;-;37;-;10030
140050 SAO JOAO DA BALIZA;2806;2;22;-;12;1;2843
140060 SAO LUIZ;2163;2;93;-;18;1;2277
140070 UIRAMUTA;4103;846;4401;4;106;1;9461
 MUNICIPIO IGNORADO - PA;60;-;1;-;-;-;61
150010 ABAETETUBA;57833;3629;373;-;41;1;61877
150013 ABEL FIGUEIREDO;2330;253;33;-;22;-;2638
150020 ACARA;11873;7477;1360;-;56;6;20772
150030 AFUA;17632;456;613;-;77;1;18779
150034 AGUA AZUL DO NORTE;4218;244;21;-;5;-;4488
150040 ALENQUER;26585;11;2114;-;5;-;28715
150050 ALMEIRIM;16966;198;589;202;36;-;17991
150060 ALTAMIRA;51222;335;919;219;220;6;52921
150070 ANAJAS;12627;430;2262;-;13;2;15334
150080 ANANINDEUA;202491;201;100;-;39;4;202835
150085 ANAPU;10405;446;153;-;66;-;11070
150090 AUGUSTO CORREA;17628;8;3991;-;3;-;21630
150095 AURORA DO PARA;8947;105;624;-;22;-;9698
150100 AVEIRO;2570;1319;1219;-;35;-;5143
150110 BAGRE;4121;1237;5668;-;35;1;11062
150120 BAIAO;10898;20;1027;-;28;-;11973
150125 BANNACH;1010;102;22;7;5;-;1146
150130 BARCARENA;45139;852;331;-;39;1;46362
150140 BELEM;502514;579;503;-;181;14;503791
150145 BELTERRA;5240;158;580;-;35;-;6013
150150 BENEVIDES;21870;61;22;-;16;-;21969
150157 BOM JESUS DO TOCANTINS;3566;2056;49;-;15;-;5686
150160 BONITO;4199;15;198;-;1;-;4413
150170 BRAGANCA;49365;30;1780;-;8;-;51183
150172 BRASIL NOVO;6863;20;14;-;3;1;6901
150175 BREJO GRANDE DO ARAGUAIA;1523;980;52;-;1;-;2556
150178 BREU BRANCO;15174;2181;203;-;13;-;17571
150180 BREVES;45738;310;7866;-;276;1;54191
150190 BUJARU;7991;1284;1908;-;9;-;11192
150195 CACHOEIRA DO PIRIA;5215;593;826;-;17;6;6657
150200 CACHOEIRA DO ARARI;1234;4767;105;-;10;-;6116
150210 CAMETA;53810;55;4544;-;83;-;58492
150215 CANAA DOS CARAJAS;17656;1472;23;-;8;-;19159
150220 CAPANEMA;25912;65;478;-;2;3;26460
150230 CAPITAO POCO;19120;47;634;-;11;2;19814
150240 CASTANHAL;71227;4376;65;-;17;1;75686
150250 CHAVES;4463;287;1598;-;65;1;6414
150260 COLARES;2604;227;1082;-;9;-;3922
150270 CONCEICAO DO ARAGUAIA;19894;17;73;-;16;-;20000
150275 CONCORDIA DO PARA;6507;4212;79;-;14;-;10812
150276 CUMARU DO NORTE;2634;150;42;82;86;4;2998
150277 CURIONOPOLIS;7627;990;22;-;7;-;8646
150280 CURRALINHO;11137;225;1380;-;49;1;12792
150285 CURUA;2883;462;1886;-;27;1;5259
150290 CURUCA;9285;1211;375;-;35;1;10907
150293 DOM ELISEU;18636;46;26;-;6;2;18716
150295 ELDORADO DOS CARAJAS;12872;300;133;-;8;-;13313
150300 FARO;3037;10;308;-;4;-;3359
150304 FLORESTA DO ARAGUAIA;6698;8;92;-;10;-;6808
150307 GARRAFAO DO NORTE;7915;561;2458;-;229;1;11164
150309 GOIANESIA DO PARA;12933;2136;97;-;11;-;15177
150310 GURUPA;10744;2211;2497;-;24;-;15476
150320 IGARAPE-ACU;10403;2808;328;-;15;-;13554
150330 IGARAPE-MIRI;24644;534;1423;-;32;-;26633
150340 INHANGAPI;3661;231;116;-;6;-;4014
150345 IPIXUNA DO PARA;11093;933;919;-;25;1;12971
150350 IRITUIA;10263;127;1482;-;13;1;11886
150360 ITAITUBA;57369;164;572;25;63;1;58194
150370 ITUPIRANGA;17871;2674;763;-;64;2;21374
150375 JACAREACANGA;6382;78;2714;1715;60;3;10952
150380 JACUNDA;22683;61;169;-;12;1;22926
150390 JURUTI;18833;368;1349;-;69;1;20620
150400 LIMOEIRO DO AJURU;8931;135;1254;-;32;-;10352
150405 MAE DO RIO;14676;123;357;-;5;-;15161
150410 MAGALHAES BARATA;1528;346;574;-;6;-;2454
150420 MARABA;107210;465;725;-;69;-;108469
150430 MARACANA;5994;2361;1071;-;17;-;9443
150440 MARAPANIM;5814;912;452;-;19;1;7198
150442 MARITUBA;39197;52;24;-;12;3;39288
150445 MEDICILANDIA;11162;21;24;-;4;1;11212
150450 MELGACO;6041;554;5856;-;56;5;12512
150460 MOCAJUBA;11149;7;597;-;9;-;11762
150470 MOJU;26405;129;1244;-;58;3;27839
150475 MOJUI DOS CAMPOS;2297;4;30;-;10;1;2342
150480 MONTE ALEGRE;26829;36;411;-;20;-;27296
150490 MUANA;1521;10137;186;-;13;1;11858
150495 NOVA ESPERANCA DO PIRIA;6353;239;1803;-;30;1;8426
150497 NOVA IPIXUNA;4316;98;226;-;101;-;4741
150500 NOVA TIMBOTEUA;3465;56;297;-;5;1;3824
150503 NOVO PROGRESSO;10840;553;106;8;17;-;11524
150506 NOVO REPARTIMENTO;22492;6731;168;-;93;1;29485
150510 OBIDOS;20051;419;3229;330;63;10;24102
150520 OEIRAS DO PARA;14094;75;1927;-;42;-;16138
150530 ORIXIMINA;32503;86;1586;13;92;-;34280
150540 OUREM;6674;16;386;-;11;6;7093
150543 OURILANDIA DO NORTE;11746;28;78;183;21;1;12057
150548 PACAJA;14613;996;196;-;23;4;15832
150549 PALESTINA DO PARA;1363;1818;25;-;9;-;3215
150550 PARAGOMINAS;46631;65;365;8;71;1;47141
150553 PARAUAPEBAS;88146;2058;184;5;46;1;90440
150555 PAU D'ARCO;2880;1;26;33;15;1;2956
150560 PEIXE-BOI;2424;92;116;-;5;-;2637
150563 PICARRA;3179;494;34;-;48;1;3756
150565 PLACAS;5143;921;292;-;11;5;6372
150570 PONTA DE PEDRAS;3528;3101;456;-;15;1;7101
150580 PORTEL;22698;1498;5147;-;59;-;29402
150590 PORTO DE MOZ;11420;2626;917;-;30;-;14993
150600 PRAINHA;12594;127;2324;-;22;-;15067
150610 PRIMAVERA;2751;1558;148;-;3;1;4461
150611 QUATIPURU;3385;491;538;-;9;2;4425
150613 REDENCAO;39309;29;56;1;8;-;39403
150616 RIO MARIA;7588;12;22;-;5;-;7627
150618 RONDON DO PARA;18591;30;125;-;14;-;18760
150619 RUROPOLIS;9899;21;79;-;13;-;10012
150620 SALINOPOLIS;16383;28;234;-;9;1;16655
150630 SALVATERRA;5880;1258;167;-;9;1;7315
150635 SANTA BARBARA DO PARA;6630;48;34;-;14;1;6727
150640 SANTA CRUZ DO ARARI;1006;378;356;-;9;-;1749
150650 SANTA IZABEL DO PARA;21364;186;270;-;8;2;21830
150655 SANTA LUZIA DO PARA;7360;196;697;-;4;1;8258
150658 SANTA MARIA DAS BARREIRAS;3155;686;71;-;24;4;3940
150660 SANTA MARIA DO PARA;10200;27;21;-;3;-;10251
150670 SANTANA DO ARAGUAIA;14173;42;29;-;16;-;14260
150680 SANTAREM;137821;242;13251;-;263;10;151587
150690 SANTAREM NOVO;1918;260;169;-;3;-;2350
150700 SANTO ANTONIO DO TAUA;10662;22;787;-;7;-;11478
150710 SAO CAETANO DE ODIVELAS;4109;282;732;-;16;2;5141
150715 SAO DOMINGOS DO ARAGUAIA;7124;3010;85;-;6;-;10225
150720 SAO DOMINGOS DO CAPIM;9542;2963;1277;-;18;1;13801
150730 SAO FELIX DO XINGU;21543;217;160;153;170;-;22243
150740 SAO FRANCISCO DO PARA;4782;473;59;-;2;-;5316
150745 SAO GERALDO DO ARAGUAIA;12477;39;62;-;18;-;12596
150746 SAO JOAO DA PONTA;1341;127;302;-;6;-;1776
150747 SAO JOAO DE PIRABAS;5688;1536;155;-;32;1;7412
150750 SAO JOAO DO ARAGUAIA;3551;982;157;-;15;-;4705
150760 SAO MIGUEL DO GUAMA;22525;194;674;-;25;-;23418
150770 SAO SEBASTIAO DA BOA VISTA;9692;90;282;-;27;-;10091
150775 SAPUCAIA;1743;388;9;-;2;-;2142
150780 SENADOR JOSE PORFIRIO;5577;736;282;-;48;2;6645
150790 SOURE;8595;484;20;-;6;4;9109
150795 TAILANDIA;33855;166;445;-;83;-;34549
150796 TERRA ALTA;3479;492;109;-;7;-;4087
150797 TERRA SANTA;5021;1836;22;-;7;-;6886
150800 TOME-ACU;25704;1892;174;-;24;-;27794
150803 TRACUATEUA;11827;71;640;-;7;-;12545
150805 TRAIRAO;4487;902;38;-;12;-;5439
150808 TUCUMA;15409;9;16;-;4;-;15438
150810 TUCURUI;45080;193;79;-;26;-;45378
150812 ULIANOPOLIS;10061;19;122;-;10;-;10212
150815 URUARA;18156;428;67;-;21;21;18693
150820 VIGIA;13560;3973;364;-;16;2;17915
150830 VISEU;17492;71;9618;-;22;17;27220
150835 VITORIA DO XINGU;5908;82;75;-;13;1;6079
150840 XINGUARA;19490;223;63;-;26;-;19802
 MUNICIPIO IGNORADO - AP;7;-;1;-;-;-;8
160005 SERRA DO NAVIO;1900;20;3;-;11;-;1934
160010 AMAPA;1731;1917;175;-;27;-;3850
160015 PEDRA BRANCA DO AMAPARI;3539;222;216;500;72;13;4562
160020 CALCOENE;2939;985;420;-;33;-;4377
160021 CUTIAS;1152;189;695;-;43;2;2081
