 Nascidos vivos - Brasil
Nascim p/resid.mãeNascim p/ocorrênc por Município
Período:2000-2022
"Município";"Nascim_p/resid.mãe";"Nascim_p/ocorrênc"
" MUNICIPIO IGNORADO - RO";139;1
"110001 ALTA FLORESTA D'OESTE";10083;7558
"110002 ARIQUEMES";38826;53694
"110003 CABIXI";2076;1179
"110004 CACOAL";31702;40307
"110005 CEREJEIRAS";6164;5425
"110006 COLORADO DO OESTE";6121;2563
"110007 CORUMBIARA";2790;73
"110008 COSTA MARQUES";5913;4043
"110009 ESPIGAO D'OESTE";11473;10476
"110010 GUAJARA-MIRIM";20044;23039
"110011 JARU";21462;24319
"110012 JI-PARANA";48284;55643
"110013 MACHADINHO D'OESTE";12346;9699
"110014 NOVA BRASILANDIA D'OESTE";7250;6725
"110015 OURO PRETO DO OESTE";14113;24885
"110018 PIMENTA BUENO";13951;18657
"110020 PORTO VELHO";186928;201806
"110025 PRESIDENTE MEDICI";6958;4439
"110026 RIO CRESPO";962;38
"110028 ROLIM DE MOURA";20408;29950
"110029 SANTA LUZIA D'OESTE";2876;1155
"110030 VILHENA";31512;43477
"110032 SAO MIGUEL DO GUAPORE";8045;6878
"110033 NOVA MAMORE";9040;3914
"110034 ALVORADA D'OESTE";5998;4381
"110037 ALTO ALEGRE DOS PARECIS";3909;104
"110040 ALTO PARAISO";5621;260
"110045 BURITIS";14705;17987
"110050 NOVO HORIZONTE DO OESTE";2989;23
"110060 CACAULANDIA";1809;390
"110070 CAMPO NOVO DE RONDONIA";3779;324
"110080 CANDEIAS DO JAMARI";6665;77
"110090 CASTANHEIRAS";1161;8
"110092 CHUPINGUAIA";2984;112
"110094 CUJUBIM";4660;442
"110100 GOVERNADOR JORGE TEIXEIRA";3401;749
"110110 ITAPUA DO OESTE";2440;608
"110120 MINISTRO ANDREAZZA";2813;51
"110130 MIRANTE DA SERRA";4616;4476
"110140 MONTE NEGRO";5212;3385
"110143 NOVA UNIAO";2328;159
"110145 PARECIS";1435;11
"110146 PIMENTEIRAS DO OESTE";1069;31
"110147 PRIMAVERA DE RONDONIA";1186;3
"110148 SAO FELIPE D'OESTE";1739;20
"110149 SAO FRANCISCO DO GUAPORE";6241;6543
"110150 SERINGUEIRAS";4268;2626
"110155 TEIXEIROPOLIS";1412;22
"110160 THEOBROMA";3106;193
"110170 URUPA";3793;412
"110175 VALE DO ANARI";2317;211
"110180 VALE DO PARAISO";2212;44
" MUNICIPIO IGNORADO - AC";13;-
"120001 ACRELANDIA";5310;1007
"120005 ASSIS BRASIL";5117;3048
"120010 BRASILEIA";11719;18639
"120013 BUJARI";4177;56
"120017 CAPIXABA";4117;92
