 Nascidos vivos - Brasil;;;;;;;;;
Nascim p/resid.mãe por Município e Peso ao nascer;;;;;;;;;
Período:2000-2022;;;;;;;;;
Município;Menos de 500g;500 a 999g;1000 a 1499 g;1500 a 2499 g;2500 a 2999 g;3000 a 3999 g;4000g e mais;Ignorado;Total
 MUNICIPIO IGNORADO - RO;-;-;3;9;33;82;10;2;139
110001 ALTA FLORESTA D'OESTE;4;16;45;517;2153;6845;503;-;10083
110002 ARIQUEMES;22;108;220;2177;8250;25976;2021;52;38826
110003 CABIXI;1;5;5;90;355;1446;170;4;2076
110004 CACOAL;11;90;156;1797;6768;21196;1676;8;31702
110005 CEREJEIRAS;5;14;27;307;1128;4287;395;1;6164
110006 COLORADO DO OESTE;5;22;35;325;1224;4152;345;13;6121
110007 CORUMBIARA;5;13;9;133;547;1912;169;2;2790
110008 COSTA MARQUES;6;20;27;288;1153;3998;419;2;5913
110009 ESPIGAO D'OESTE;4;19;50;605;2288;7778;723;6;11473
110010 GUAJARA-MIRIM;7;53;101;932;3312;13776;1862;1;20044
110011 JARU;17;47;96;1162;4455;14489;1181;15;21462
110012 JI-PARANA;47;145;249;2570;9878;32562;2821;12;48284
110013 MACHADINHO D'OESTE;14;24;75;725;2638;8206;656;8;12346
110014 NOVA BRASILANDIA D'OESTE;3;19;33;334;1636;4878;341;6;7250
110015 OURO PRETO DO OESTE;6;23;69;854;3051;9411;687;12;14113
110018 PIMENTA BUENO;13;36;84;765;2965;9408;679;1;13951
110020 PORTO VELHO;115;759;1320;11537;35333;120326;16824;714;186928
110025 PRESIDENTE MEDICI;11;18;35;397;1507;4602;381;7;6958
110026 RIO CRESPO;-;2;5;47;193;659;56;-;962
110028 ROLIM DE MOURA;10;49;99;1114;4349;13824;942;21;20408
110029 SANTA LUZIA D'OESTE;2;2;9;149;602;1928;171;13;2876
110030 VILHENA;47;91;180;1893;6719;21091;1482;9;31512
110032 SAO MIGUEL DO GUAPORE;8;19;23;399;1714;5405;467;10;8045
110033 NOVA MAMORE;7;24;33;470;1794;6164;544;4;9040
110034 ALVORADA D'OESTE;4;17;16;330;1256;4041;332;2;5998
110037 ALTO ALEGRE DOS PARECIS;4;5;19;211;835;2632;200;3;3909
110040 ALTO PARAISO;1;14;28;308;1276;3709;277;8;5621
110045 BURITIS;13;36;50;789;2982;9930;892;13;14705
110050 NOVO HORIZONTE DO OESTE;2;6;10;150;655;2013;149;4;2989
110060 CACAULANDIA;2;1;11;87;384;1220;89;15;1809
110070 CAMPO NOVO DE RONDONIA;1;4;18;200;745;2588;219;4;3779
110080 CANDEIAS DO JAMARI;3;26;50;424;1390;4303;463;6;6665
110090 CASTANHEIRAS;-;5;4;78;226;788;59;1;1161
110092 CHUPINGUAIA;3;8;12;157;600;2055;142;7;2984
110094 CUJUBIM;5;14;27;280;998;3081;244;11;4660
110100 GOVERNADOR JORGE TEIXEIRA;2;10;13;168;687;2305;207;9;3401
110110 ITAPUA DO OESTE;1;4;7;137;460;1661;164;6;2440
110120 MINISTRO ANDREAZZA;1;3;14;138;590;1905;157;5;2813
110130 MIRANTE DA SERRA;2;9;21;235;833;3162;345;9;4616
110140 MONTE NEGRO;1;12;19;279;916;3621;363;1;5212
110143 NOVA UNIAO;2;6;7;112;448;1621;131;1;2328
110145 PARECIS;1;1;8;76;365;928;55;1;1435
110146 PIMENTEIRAS DO OESTE;1;4;4;45;163;746;103;3;1069
110147 PRIMAVERA DE RONDONIA;1;4;6;60;276;794;45;-;1186
110148 SAO FELIPE D'OESTE;1;4;6;86;386;1177;77;2;1739
110149 SAO FRANCISCO DO GUAPORE;6;16;29;296;1122;4284;486;2;6241
110150 SERINGUEIRAS;3;8;12;173;652;3062;352;6;4268
110155 TEIXEIROPOLIS;1;3;5;76;311;962;54;-;1412
110160 THEOBROMA;4;3;8;164;665;2103;153;6;3106
110170 URUPA;-;16;26;227;832;2505;185;2;3793
110175 VALE DO ANARI;1;11;5;124;498;1537;139;2;2317
110180 VALE DO PARAISO;-;7;11;128;480;1478;106;2;2212
 MUNICIPIO IGNORADO - AC;-;-;-;2;-;8;3;-;13
120001 ACRELANDIA;10;6;32;309;1011;3516;394;32;5310
120005 ASSIS BRASIL;7;6;27;248;1059;3049;296;425;5117
120010 BRASILEIA;11;40;78;625;2198;7840;801;126;11719
120013 BUJARI;2;9;24;284;906;2680;235;37;4177
120017 CAPIXABA;2;11;24;263;830;2666;284;37;4117
120020 CRUZEIRO DO SUL;39;123;206;2701;9178;26124;2501;2116;42988
120025 EPITACIOLANDIA;7;26;30;342;1248;4321;440;68;6482
120030 FEIJO;12;27;58;810;2914;9828;1106;2304;17059
120032 JORDAO;8;10;14;431;732;2735;397;123;4450
120033 MANCIO LIMA;7;22;32;541;1836;5000;442;765;8645
120034 MANOEL URBANO;12;5;10;341;1061;2927;229;319;4904
