 Nascidos vivos - Brasil;;;;
Nascim p/resid.mãe por Município e Sexo;;;;
Período:2000-2022;;;;
Município;Masc;Fem;Ign;Total
 MUNICIPIO IGNORADO - RO;66;72;1;139
110001 ALTA FLORESTA D'OESTE;5178;4898;7;10083
110002 ARIQUEMES;19957;18853;16;38826
110003 CABIXI;1042;1030;4;2076
110004 CACOAL;16244;15458;-;31702
110005 CEREJEIRAS;3133;3028;3;6164
110006 COLORADO DO OESTE;3138;2979;4;6121
110007 CORUMBIARA;1435;1354;1;2790
110008 COSTA MARQUES;3065;2843;5;5913
110009 ESPIGAO D'OESTE;5784;5689;-;11473
110010 GUAJARA-MIRIM;10163;9880;1;20044
110011 JARU;10871;10583;8;21462
110012 JI-PARANA;24832;23425;27;48284
110013 MACHADINHO D'OESTE;6521;5821;4;12346
110014 NOVA BRASILANDIA D'OESTE;3653;3589;8;7250
110015 OURO PRETO DO OESTE;7207;6898;8;14113
110018 PIMENTA BUENO;7212;6739;-;13951
110020 PORTO VELHO;95743;91150;35;186928
110025 PRESIDENTE MEDICI;3562;3395;1;6958
110026 RIO CRESPO;527;435;-;962
110028 ROLIM DE MOURA;10411;9983;14;20408
110029 SANTA LUZIA D'OESTE;1493;1381;2;2876
110030 VILHENA;16200;15308;4;31512
110032 SAO MIGUEL DO GUAPORE;4114;3929;2;8045
110033 NOVA MAMORE;4620;4416;4;9040
110034 ALVORADA D'OESTE;3092;2904;2;5998
110037 ALTO ALEGRE DOS PARECIS;2000;1905;4;3909
110040 ALTO PARAISO;2912;2707;2;5621
110045 BURITIS;7553;7146;6;14705
110050 NOVO HORIZONTE DO OESTE;1531;1457;1;2989
110060 CACAULANDIA;971;833;5;1809
110070 CAMPO NOVO DE RONDONIA;1976;1794;9;3779
110080 CANDEIAS DO JAMARI;3397;3267;1;6665
110090 CASTANHEIRAS;578;583;-;1161
110092 CHUPINGUAIA;1490;1493;1;2984
110094 CUJUBIM;2441;2217;2;4660
110100 GOVERNADOR JORGE TEIXEIRA;1708;1686;7;3401
110110 ITAPUA DO OESTE;1304;1133;3;2440
110120 MINISTRO ANDREAZZA;1409;1403;1;2813
110130 MIRANTE DA SERRA;2348;2250;18;4616
110140 MONTE NEGRO;2705;2501;6;5212
110143 NOVA UNIAO;1228;1099;1;2328
110145 PARECIS;712;723;-;1435
110146 PIMENTEIRAS DO OESTE;583;485;1;1069
110147 PRIMAVERA DE RONDONIA;629;557;-;1186
110148 SAO FELIPE D'OESTE;914;825;-;1739
110149 SAO FRANCISCO DO GUAPORE;3211;3015;15;6241
110150 SERINGUEIRAS;2163;2102;3;4268
110155 TEIXEIROPOLIS;705;706;1;1412
110160 THEOBROMA;1568;1534;4;3106
110170 URUPA;1961;1827;5;3793
110175 VALE DO ANARI;1212;1104;1;2317
110180 VALE DO PARAISO;1118;1092;2;2212
 MUNICIPIO IGNORADO - AC;6;7;-;13
120001 ACRELANDIA;2688;2622;-;5310
120005 ASSIS BRASIL;2673;2444;-;5117
120010 BRASILEIA;6011;5704;4;11719
120013 BUJARI;2150;2027;-;4177
120017 CAPIXABA;2183;1934;-;4117
120020 CRUZEIRO DO SUL;22219;20754;15;42988
120025 EPITACIOLANDIA;3289;3192;1;6482
120030 FEIJO;8747;8287;25;17059
120032 JORDAO;2237;2212;1;4450
120033 MANCIO LIMA;4482;4161;2;8645
120034 MANOEL URBANO;2530;2371;3;4904
120035 MARECHAL THAUMATURGO;4615;4338;3;8956
120038 PLACIDO DE CASTRO;3913;3823;1;7737
120039 PORTO WALTER;3352;3200;3;6555
