 Nascidos vivos - Brasil;;;;;
Nascim p/resid.mãe por Município e Tipo de gravidez;;;;;
Período:2000-2022;;;;;
Município;Única;Dupla;Tripla e mais;Ignorada;Total
 MUNICIPIO IGNORADO - RO;137;2;-;-;139
110001 ALTA FLORESTA D'OESTE;9903;161;4;15;10083
110002 ARIQUEMES;38054;654;9;109;38826
110003 CABIXI;2042;32;-;2;2076
110004 CACOAL;31180;496;14;12;31702
110005 CEREJEIRAS;6057;91;3;13;6164
110006 COLORADO DO OESTE;5998;107;3;13;6121
110007 CORUMBIARA;2735;49;-;6;2790
110008 COSTA MARQUES;5814;88;1;10;5913
110009 ESPIGAO D'OESTE;11306;162;-;5;11473
110010 GUAJARA-MIRIM;19796;229;9;10;20044
110011 JARU;21056;378;8;20;21462
110012 JI-PARANA;47438;751;20;75;48284
110013 MACHADINHO D'OESTE;12084;208;4;50;12346
110014 NOVA BRASILANDIA D'OESTE;7121;125;4;-;7250
110015 OURO PRETO DO OESTE;13847;234;5;27;14113
110018 PIMENTA BUENO;13693;241;9;8;13951
110020 PORTO VELHO;182918;3304;103;603;186928
110025 PRESIDENTE MEDICI;6838;112;1;7;6958
110026 RIO CRESPO;948;14;-;-;962
110028 ROLIM DE MOURA;20054;325;12;17;20408
110029 SANTA LUZIA D'OESTE;2831;39;-;6;2876
110030 VILHENA;30898;568;13;33;31512
110032 SAO MIGUEL DO GUAPORE;7911;127;1;6;8045
110033 NOVA MAMORE;8914;117;-;9;9040
110034 ALVORADA D'OESTE;5913;77;3;5;5998
110037 ALTO ALEGRE DOS PARECIS;3850;57;-;2;3909
110040 ALTO PARAISO;5501;104;1;15;5621
110045 BURITIS;14469;208;1;27;14705
110050 NOVO HORIZONTE DO OESTE;2936;51;-;2;2989
110060 CACAULANDIA;1765;38;4;2;1809
110070 CAMPO NOVO DE RONDONIA;3716;51;7;5;3779
110080 CANDEIAS DO JAMARI;6526;124;-;15;6665
110090 CASTANHEIRAS;1129;31;1;-;1161
110092 CHUPINGUAIA;2927;47;1;9;2984
110094 CUJUBIM;4557;93;1;9;4660
110100 GOVERNADOR JORGE TEIXEIRA;3325;64;7;5;3401
110110 ITAPUA DO OESTE;2405;26;2;7;2440
110120 MINISTRO ANDREAZZA;2774;36;3;-;2813
110130 MIRANTE DA SERRA;4505;97;7;7;4616
110140 MONTE NEGRO;5100;95;3;14;5212
110143 NOVA UNIAO;2283;36;1;8;2328
110145 PARECIS;1413;20;-;2;1435
110146 PIMENTEIRAS DO OESTE;1050;18;-;1;1069
110147 PRIMAVERA DE RONDONIA;1150;32;3;1;1186
110148 SAO FELIPE D'OESTE;1717;20;-;2;1739
110149 SAO FRANCISCO DO GUAPORE;6131;91;7;12;6241
110150 SERINGUEIRAS;4195;69;1;3;4268
110155 TEIXEIROPOLIS;1376;30;-;6;1412
110160 THEOBROMA;3038;63;3;2;3106
110170 URUPA;3716;70;1;6;3793
110175 VALE DO ANARI;2274;42;-;1;2317
110180 VALE DO PARAISO;2171;38;-;3;2212
 MUNICIPIO IGNORADO - AC;13;-;-;-;13
120001 ACRELANDIA;5208;98;-;4;5310
120005 ASSIS BRASIL;4934;51;-;132;5117
120010 BRASILEIA;11506;158;2;53;11719
120013 BUJARI;4092;76;-;9;4177
120017 CAPIXABA;4040;72;-;5;4117
120020 CRUZEIRO DO SUL;42099;720;69;100;42988
120025 EPITACIOLANDIA;6310;98;4;70;6482
120030 FEIJO;16706;228;4;121;17059
120032 JORDAO;4343;63;-;44;4450
120033 MANCIO LIMA;8416;146;4;79;8645
120034 MANOEL URBANO;4805;62;3;34;4904
120035 MARECHAL THAUMATURGO;8808;117;1;30;8956
120038 PLACIDO DE CASTRO;7604;125;-;8;7737
120039 PORTO WALTER;6458;82;3;12;6555
120040 RIO BRANCO;154874;2616;64;84;157638
120042 RODRIGUES ALVES;8917;142;1;56;9116
120043 SANTA ROSA DO PURUS;3372;42;2;111;3527
120045 SENADOR GUIOMARD;8270;146;-;12;8428
120050 SENA MADUREIRA;19796;292;14;21;20123
120060 TARAUACA;24197;320;8;77;24602
120070 XAPURI;7542;104;1;46;7693
120080 PORTO ACRE;6515;107;-;43;6665
 MUNICIPIO IGNORADO - AM;256;6;3;23;288
130002 ALVARAES;7602;130;1;6;7739
130006 AMATURA;4992;44;-;2;5038
130008 ANAMA;4451;82;1;6;4540
130010 ANORI;5887;91;-;14;5992
130014 APUI;5438;85;2;3;5528
130020 ATALAIA DO NORTE;7039;66;-;3;7108
130030 AUTAZES;18435;211;10;14;18670
130040 BARCELOS;9136;103;4;11;9254
130050 BARREIRINHA;15833;161;9;9;16012
130060 BENJAMIN CONSTANT;20411;224;13;20;20668
130063 BERURI;9629;98;7;2;9736
130068 BOA VISTA DO RAMOS;8016;82;-;29;8127
130070 BOCA DO ACRE;15147;225;6;83;15461
130080 BORBA;15895;223;3;7;16128
130083 CAAPIRANGA;3944;75;5;3;4027
130090 CANUTAMA;4423;57;7;3;4490
130100 CARAUARI;13270;198;3;15;13486
130110 CAREIRO;9553;125;5;20;9703
130115 CAREIRO DA VARZEA;4818;76;-;1;4895
130120 COARI;38989;526;11;17;39543
130130 CODAJAS;9765;129;-;20;9914
130140 EIRUNEPE;17777;320;1;18;18116
130150 ENVIRA;8215;131;3;1;8350
130160 FONTE BOA;12672;194;1;8;12875
130165 GUAJARA;7564;115;2;66;7747
130170 HUMAITA;22162;301;4;14;22481
130180 IPIXUNA;9166;146;-;19;9331
130185 IRANDUBA;18255;242;4;61;18562
130190 ITACOATIARA;45787;578;13;18;46396
130195 ITAMARATI;4901;82;3;13;4999
130200 ITAPIRANGA;4121;43;4;8;4176
130210 JAPURA;2975;22;2;5;3004
130220 JURUA;4035;55;-;21;4111
130230 JUTAI;11250;148;1;3;11402
130240 LABREA;16213;219;3;8;16443
130250 MANACAPURU;48008;548;6;10;48572
130255 MANAQUIRI;5151;78;-;12;5241
130260 MANAUS;878887;14007;274;885;894053
130270 MANICORE;19464;276;3;61;19804
130280 MARAA;7424;134;8;13;7579
130290 MAUES;30198;329;3;19;30549
130300 NHAMUNDA;7613;116;3;21;7753
130310 NOVA OLINDA DO NORTE;13380;195;3;10;13588
130320 NOVO AIRAO;6393;93;5;3;6494
130330 NOVO ARIPUANA;8421;101;1;9;8532
130340 PARINTINS;48533;647;7;17;49204
130350 PAUINI;7283;127;3;18;7431
130353 PRESIDENTE FIGUEIREDO;11551;171;1;11;11734
130356 RIO PRETO DA EVA;7744;96;2;8;7850
130360 SANTA ISABEL DO RIO NEGRO;6726;48;-;4;6778
130370 SANTO ANTONIO DO ICA;13465;174;2;10;13651
130380 SAO GABRIEL DA CACHOEIRA;27370;335;6;23;27734
130390 SAO PAULO DE OLIVENCA;17134;156;4;8;17302
