 Nascidos vivos - Brasil;;;;
Nascim p/resid.mãe por Município e Tipo de parto;;;;
Período:2000-2022;;;;
Município;Vaginal;Cesário;Ignorado;Total
 MUNICIPIO IGNORADO - RO;100;39;-;139
110001 ALTA FLORESTA D'OESTE;3989;6083;11;10083
110002 ARIQUEMES;13378;25272;176;38826
110003 CABIXI;583;1492;1;2076
110004 CACOAL;10371;21323;8;31702
110005 CEREJEIRAS;1935;4209;20;6164
110006 COLORADO DO OESTE;2351;3754;16;6121
110007 CORUMBIARA;972;1807;11;2790
110008 COSTA MARQUES;2834;3069;10;5913
110009 ESPIGAO D'OESTE;3288;8181;4;11473
110010 GUAJARA-MIRIM;12198;7836;10;20044
110011 JARU;7751;13672;39;21462
110012 JI-PARANA;18328;29899;57;48284
110013 MACHADINHO D'OESTE;6014;6264;68;12346
110014 NOVA BRASILANDIA D'OESTE;1998;5251;1;7250
110015 OURO PRETO DO OESTE;4260;9827;26;14113
110018 PIMENTA BUENO;3367;10572;12;13951
110020 PORTO VELHO;93014;93394;520;186928
110025 PRESIDENTE MEDICI;2527;4423;8;6958
110026 RIO CRESPO;335;622;5;962
110028 ROLIM DE MOURA;3474;16912;22;20408
110029 SANTA LUZIA D'OESTE;611;2256;9;2876
110030 VILHENA;9160;22314;38;31512
110032 SAO MIGUEL DO GUAPORE;2251;5786;8;8045
110033 NOVA MAMORE;4368;4662;10;9040
110034 ALVORADA D'OESTE;2416;3576;6;5998
110037 ALTO ALEGRE DOS PARECIS;1098;2808;3;3909
110040 ALTO PARAISO;1877;3727;17;5621
110045 BURITIS;5160;9519;26;14705
110050 NOVO HORIZONTE DO OESTE;674;2314;1;2989
110060 CACAULANDIA;640;1162;7;1809
110070 CAMPO NOVO DE RONDONIA;1365;2408;6;3779
110080 CANDEIAS DO JAMARI;3713;2935;17;6665
110090 CASTANHEIRAS;333;828;-;1161
110092 CHUPINGUAIA;965;2015;4;2984
110094 CUJUBIM;1953;2689;18;4660
110100 GOVERNADOR JORGE TEIXEIRA;1598;1800;3;3401
110110 ITAPUA DO OESTE;1388;1046;6;2440
110120 MINISTRO ANDREAZZA;1123;1690;-;2813
110130 MIRANTE DA SERRA;1766;2842;8;4616
110140 MONTE NEGRO;1905;3294;13;5212
110143 NOVA UNIAO;789;1531;8;2328
110145 PARECIS;362;1070;3;1435
110146 PIMENTEIRAS DO OESTE;469;599;1;1069
110147 PRIMAVERA DE RONDONIA;287;898;1;1186
110148 SAO FELIPE D'OESTE;476;1261;2;1739
110149 SAO FRANCISCO DO GUAPORE;2352;3876;13;6241
110150 SERINGUEIRAS;1600;2662;6;4268
110155 TEIXEIROPOLIS;393;1015;4;1412
110160 THEOBROMA;1253;1849;4;3106
110170 URUPA;1412;2375;6;3793
110175 VALE DO ANARI;1065;1251;1;2317
110180 VALE DO PARAISO;712;1497;3;2212
 MUNICIPIO IGNORADO - AC;6;7;-;13
120001 ACRELANDIA;3386;1920;4;5310
120005 ASSIS BRASIL;4095;909;113;5117
120010 BRASILEIA;7299;4363;57;11719
120013 BUJARI;2615;1552;10;4177
120017 CAPIXABA;2682;1431;4;4117
120020 CRUZEIRO DO SUL;28683;14211;94;42988
120025 EPITACIOLANDIA;3979;2436;67;6482
120030 FEIJO;13590;3351;118;17059
120032 JORDAO;4036;388;26;4450
120033 MANCIO LIMA;6463;2136;46;8645
120034 MANOEL URBANO;4045;825;34;4904
120035 MARECHAL THAUMATURGO;7707;1225;24;8956
120038 PLACIDO DE CASTRO;5510;2212;15;7737
120039 PORTO WALTER;5576;965;14;6555
120040 RIO BRANCO;89204;68326;108;157638
120042 RODRIGUES ALVES;7082;1969;65;9116
120043 SANTA ROSA DO PURUS;3175;244;108;3527
120045 SENADOR GUIOMARD;5452;2962;14;8428
120050 SENA MADUREIRA;14027;6094;2;20123
120060 TARAUACA;18294;6222;86;24602
120070 XAPURI;5309;2348;36;7693
120080 PORTO ACRE;4150;2482;33;6665
 MUNICIPIO IGNORADO - AM;166;96;26;288
130002 ALVARAES;6107;1625;7;7739
130006 AMATURA;4440;594;4;5038
130008 ANAMA;3429;1094;17;4540
130010 ANORI;4225;1750;17;5992
130014 APUI;3617;1906;5;5528
130020 ATALAIA DO NORTE;6508;591;9;7108
130030 AUTAZES;14037;4619;14;18670
130040 BARCELOS;7330;1909;15;9254
130050 BARREIRINHA;13116;2886;10;16012
130060 BENJAMIN CONSTANT;17582;3059;27;20668
130063 BERURI;8335;1391;10;9736
130068 BOA VISTA DO RAMOS;6496;1605;26;8127
130070 BOCA DO ACRE;10065;5347;49;15461
130080 BORBA;12662;3463;3;16128
130083 CAAPIRANGA;2906;1113;8;4027
130090 CANUTAMA;2979;1508;3;4490
130100 CARAUARI;10482;2974;30;13486
130110 CAREIRO;6458;3226;19;9703
130115 CAREIRO DA VARZEA;3497;1397;1;4895
130120 COARI;28858;10663;22;39543
130130 CODAJAS;7078;2805;31;9914
130140 EIRUNEPE;14003;4103;10;18116
130150 ENVIRA;5816;2534;-;8350
130160 FONTE BOA;9030;3834;11;12875
130165 GUAJARA;5979;1699;69;7747
130170 HUMAITA;14705;7767;9;22481
130180 IPIXUNA;7678;1632;21;9331
130185 IRANDUBA;13093;5405;64;18562
130190 ITACOATIARA;33959;12426;11;46396
130195 ITAMARATI;4049;940;10;4999
130200 ITAPIRANGA;3228;945;3;4176
130210 JAPURA;2728;272;4;3004
130220 JURUA;2916;1175;20;4111
130230 JUTAI;10276;1120;6;11402
130240 LABREA;12321;4114;8;16443
130250 MANACAPURU;35249;13315;8;48572
130255 MANAQUIRI;3860;1376;5;5241
130260 MANAUS;486314;406802;937;894053
130270 MANICORE;15230;4484;90;19804
130280 MARAA;6088;1475;16;7579
130290 MAUES;25308;5229;12;30549
130300 NHAMUNDA;6171;1560;22;7753
130310 NOVA OLINDA DO NORTE;10785;2791;12;13588
130320 NOVO AIRAO;4598;1893;3;6494
130330 NOVO ARIPUANA;6424;2095;13;8532
130340 PARINTINS;36790;12392;22;49204
130350 PAUINI;5827;1565;39;7431
130353 PRESIDENTE FIGUEIREDO;6767;4950;17;11734
130356 RIO PRETO DA EVA;5653;2191;6;7850
130360 SANTA ISABEL DO RIO NEGRO;6156;619;3;6778
130370 SANTO ANTONIO DO ICA;12274;1365;12;13651
130380 SAO GABRIEL DA CACHOEIRA;24576;3133;25;27734
130390 SAO PAULO DE OLIVENCA;15024;2265;13;17302
130395 SAO SEBASTIAO DO UATUMA;3049;1062;12;4123
130400 SILVES;3902;554;2;4458
130406 TABATINGA;28812;5009;106;33927
130410 TAPAUA;6657;2910;14;9581
130420 TEFE;31554;7362;309;39225
130423 TONANTINS;7058;1075;14;8147
130426 UARINI;5283;1801;9;7093
130430 URUCARA;5465;1456;6;6927
130440 URUCURITUBA;6116;1366;6;7488
 MUNICIPIO IGNORADO - RR;19;14;-;33
140002 AMAJARI;5991;767;21;6779
140005 ALTO ALEGRE;11107;1423;64;12594
140010 BOA VISTA;95086;58924;6;154016
140015 BONFIM;6162;1171;1;7334
140017 CANTA;5374;1573;5;6952
140020 CARACARAI;6938;2008;4;8950
140023 CAROEBE;2511;1292;-;3803
140028 IRACEMA;2491;875;8;3374
140030 MUCAJAI;5083;2238;2;7323
140040 NORMANDIA;7454;915;2;8371
140045 PACARAIMA;6609;1587;3;8199
140047 RORAINOPOLIS;6077;3950;3;10030
140050 SAO JOAO DA BALIZA;1819;1023;1;2843
140060 SAO LUIZ;1482;793;2;2277
140070 UIRAMUTA;8636;818;7;9461
 MUNICIPIO IGNORADO - PA;30;31;-;61
150010 ABAETETUBA;34074;27739;64;61877
150013 ABEL FIGUEIREDO;1625;1010;3;2638
150020 ACARA;14550;6187;35;20772
150030 AFUA;15695;3020;64;18779
150034 AGUA AZUL DO NORTE;2129;2347;12;4488
150040 ALENQUER;24642;4059;14;28715
150050 ALMEIRIM;12621;5328;42;17991
150060 ALTAMIRA;27942;24928;51;52921
150070 ANAJAS;13474;1822;38;15334
150080 ANANINDEUA;98846;103826;163;202835
150085 ANAPU;6385;4654;31;11070
150090 AUGUSTO CORREA;15823;5755;52;21630
150095 AURORA DO PARA;6310;3384;4;9698
150100 AVEIRO;4277;859;7;5143
150110 BAGRE;10118;930;14;11062
150120 BAIAO;7385;4564;24;11973
150125 BANNACH;479;665;2;1146
150130 BARCARENA;22271;23992;99;46362
150140 BELEM;209646;294014;131;503791
150145 BELTERRA;4706;1296;11;6013
150150 BENEVIDES;10694;11252;23;21969
150157 BOM JESUS DO TOCANTINS;3454;2226;6;5686
150160 BONITO;2102;2300;11;4413
150170 BRAGANCA;34293;16745;145;51183
150172 BRASIL NOVO;3865;3029;7;6901
150175 BREJO GRANDE DO ARAGUAIA;1712;840;4;2556
150178 BREU BRANCO;11010;6549;12;17571
150180 BREVES;45370;8776;45;54191
150190 BUJARU;8141;3029;22;11192
150195 CACHOEIRA DO PIRIA;4155;2475;27;6657
150200 CACHOEIRA DO ARARI;5123;988;5;6116
150210 CAMETA;36860;21550;82;58492
150215 CANAA DOS CARAJAS;7860;11294;5;19159
150220 CAPANEMA;12245;14141;74;26460
150230 CAPITAO POCO;10350;9409;55;19814
150240 CASTANHAL;28252;47413;21;75686
150250 CHAVES;5507;891;16;6414
150260 COLARES;2790;1112;20;3922
150270 CONCEICAO DO ARAGUAIA;11025;8957;18;20000
150275 CONCORDIA DO PARA;7058;3728;26;10812
150276 CUMARU DO NORTE;1729;1264;5;2998
150277 CURIONOPOLIS;5693;2950;3;8646
150280 CURRALINHO;9766;2970;56;12792
150285 CURUA;4763;492;4;5259
150290 CURUCA;6726;4167;14;10907
150293 DOM ELISEU;11529;7166;21;18716
150295 ELDORADO DOS CARAJAS;9797;3514;2;13313
150300 FARO;2565;789;5;3359
150304 FLORESTA DO ARAGUAIA;3195;3609;4;6808
150307 GARRAFAO DO NORTE;7177;3952;35;11164
150309 GOIANESIA DO PARA;8871;6295;11;15177
150310 GURUPA;12020;3452;4;15476
150320 IGARAPE-ACU;6866;6682;6;13554
150330 IGARAPE-MIRI;14960;11630;43;26633
150340 INHANGAPI;2046;1966;2;4014
150345 IPIXUNA DO PARA;8781;4169;21;12971
150350 IRITUIA;7146;4726;14;11886
150360 ITAITUBA;37632;20530;32;58194
150370 ITUPIRANGA;14056;7308;10;21374
150375 JACAREACANGA;9524;1410;18;10952
150380 JACUNDA;12909;10006;11;22926
150390 JURUTI;16154;4417;49;20620
150400 LIMOEIRO DO AJURU;6630;3711;11;10352
150405 MAE DO RIO;8829;6324;8;15161
150410 MAGALHAES BARATA;1573;879;2;2454
150420 MARABA;65319;43131;19;108469
150430 MARACANA;6176;3245;22;9443
150440 MARAPANIM;4550;2644;4;7198
150442 MARITUBA;19366;19892;30;39288
150445 MEDICILANDIA;6718;4480;14;11212
150450 MELGACO;11425;1077;10;12512
150460 MOCAJUBA;8773;2966;23;11762
150470 MOJU;19159;8646;34;27839
150475 MOJUI DOS CAMPOS;1505;837;-;2342
150480 MONTE ALEGRE;20582;6685;29;27296
150490 MUANA;7477;4375;6;11858
150495 NOVA ESPERANCA DO PIRIA;5746;2655;25;8426
150497 NOVA IPIXUNA;3222;1517;2;4741
150500 NOVA TIMBOTEUA;1899;1914;11;3824
150503 NOVO PROGRESSO;5762;5757;5;11524
150506 NOVO REPARTIMENTO;15612;13818;55;29485
150510 OBIDOS;20836;3213;53;24102
150520 OEIRAS DO PARA;13583;2538;17;16138
150530 ORIXIMINA;25506;8673;101;34280
150540 OUREM;4138;2935;20;7093
150543 OURILANDIA DO NORTE;6637;5412;8;12057
150548 PACAJA;9465;6354;13;15832
150549 PALESTINA DO PARA;2323;890;2;3215
150550 PARAGOMINAS;28337;18780;24;47141
150553 PARAUAPEBAS;44895;45537;8;90440
150555 PAU D'ARCO;1253;1699;4;2956
150560 PEIXE-BOI;1430;1199;8;2637
150563 PICARRA;2274;1482;-;3756
150565 PLACAS;3759;2605;8;6372
150570 PONTA DE PEDRAS;4573;2523;5;7101
150580 PORTEL;25161;4229;12;29402
150590 PORTO DE MOZ;10171;4813;9;14993
150600 PRAINHA;11947;3100;20;15067
150610 PRIMAVERA;2832;1622;7;4461
150611 QUATIPURU;2679;1734;12;4425
150613 REDENCAO;14664;24720;19;39403
150616 RIO MARIA;2230;5395;2;7627
150618 RONDON DO PARA;12474;6267;19;18760
150619 RUROPOLIS;6717;3279;16;10012
150620 SALINOPOLIS;9045;7602;8;16655
150630 SALVATERRA;4913;2400;2;7315
150635 SANTA BARBARA DO PARA;3510;3213;4;6727
150640 SANTA CRUZ DO ARARI;1504;239;6;1749
150650 SANTA IZABEL DO PARA;10495;11323;12;21830
150655 SANTA LUZIA DO PARA;4527;3705;26;8258
150658 SANTA MARIA DAS BARREIRAS;2011;1926;3;3940
150660 SANTA MARIA DO PARA;4556;5663;32;10251
150670 SANTANA DO ARAGUAIA;9091;5156;13;14260
150680 SANTAREM;111492;39866;229;151587
150690 SANTAREM NOVO;1475;870;5;2350
